;Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Median Age;Coastal Locations
1692;Repeses e São Salvador, Viseu;357.500;3.0;2.0;165.0;220.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;46,9;False
1693;Arca d´ Água, Porto;Under Consultation;1.0;1.0;;;;;Not available;True;False;True;True;47;True
1694;Arca d´ Água, Porto;Under Consultation;1.0;1.0;;;;;Not available;True;False;True;True;47;True
1695;Repeses e São Salvador, Viseu;360.000;3.0;2.0;170.0;226.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;46,9;False
1696;Arca d´ Água, Porto;Under Consultation;1.0;1.0;;;;;Not available;True;False;True;True;47;True
1697;Repeses e São Salvador, Viseu;287.500;3.0;2.0;141.0;207.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;46,9;False
1698;Brufe, Braga;255.000;3.0;3.0;124.0;124.0;2.0;2.0;Not available;False;False;False;True;44,4;False
1699;Laranjeiro, Almada;260.000;5.0;2.0;140.0;160.0;;;Not available;True;False;True;False;46,3;False
1700;Alhos Vedros, Setúbal;219.000;4.0;2.0;96.0;120.0;;;Not available;True;False;True;True;46,6;False
1701;Repeses e São Salvador, Viseu;285.000;3.0;2.0;143.0;210.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;46,9;False
1702;Gala, Figueira da Foz;146.000;2.0;1.0;93.0;93.0;1.0;1.0;Not available;True;False;False;False;50,9;True
1703;Paredes, Porto;190.000;;;;;2.0;;Not available;False;False;True;True;44,3;True
1704;Mataduços, Aveiro;187.500;3.0;2.0;162.0;132.0;2.0;1.0;Not available;True;False;False;False;45,5;True
1705;Monte Abraão, Sintra;265.000;2.0;1.0;91.0;112.0;;;Not available;True;False;False;False;43,7;False
1706;São Marcos, Sintra;184.000;1.0;1.0;65.0;65.0;;;Not available;True;False;False;False;43,7;False
1707;Chafé, Viana do Castelo;225.000;2.0;2.0;77.0;77.0;1.0;5.0;Not available;True;False;False;False;48,8;True
1708;Chafé, Viana do Castelo;167.000;1.0;1.0;43.0;43.0;1.0;5.0;Not available;True;False;False;False;48,8;True
1709;Paços de Ferreira, Porto;235.000;2.0;2.0;110.0;163.0;2.0;1.0;Not available;True;False;True;True;47;True
1710;Chafé, Viana do Castelo;170.000;1.0;1.0;47.0;47.0;1.0;5.0;Not available;True;False;False;False;48,8;True
1711;Chafé, Viana do Castelo;170.000;1.0;1.0;44.0;44.0;1.0;5.0;Not available;True;False;False;False;48,8;True
1712;Marco, Porto;238.000;3.0;3.0;117.0;117.0;1.0;3.0;Not available;True;False;True;True;47;True
1713;Marco, Porto;93.000;;;;;1.0;4.0;Not available;True;False;True;True;47;True
1714;Santa Maria Maior, Vila Real;Under Consultation;2.0;2.0;80.0;93.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;48,5;False
1715;Chafé, Viana do Castelo;170.000;1.0;1.0;46.0;46.0;1.0;5.0;Not available;True;False;False;False;48,8;True
1716;Cova da Piedade, Almada;260.000;4.0;2.0;115.0;122.0;;;Not available;True;False;True;False;46,3;False
1717;Chafé, Viana do Castelo;215.000;2.0;2.0;77.0;77.0;2.0;4.0;Not available;True;False;False;False;48,8;True
1718;Chafé, Viana do Castelo;160.000;1.0;1.0;43.0;43.0;1.0;4.0;Not available;True;False;False;False;48,8;True
1719;Rio Tinto - Estação, Gondomar;Under Consultation;2.0;1.0;76.0;83.0;1.0;1.0;Not available;True;False;True;False;47,1;False
1720;Chafé, Viana do Castelo;165.000;1.0;1.0;47.0;47.0;1.0;4.0;Not available;True;False;False;False;48,8;True
1721;Venteira, Lisboa;190.000;2.0;1.0;65.0;77.0;;;Not available;True;True;True;True;44,8;False
1722;Marco, Porto;220.000;3.0;3.0;112.0;112.0;1.0;1.0;Not available;True;False;True;True;47;True
1723;Agualva - Cacém, Sintra;149.900;1.0;1.0;60.0;61.0;1.0;;Not available;True;False;False;False;43,7;False
1724;Chafé, Viana do Castelo;165.000;1.0;1.0;44.0;44.0;1.0;4.0;Not available;True;False;False;False;48,8;True
1725;Lamego (Almacave e Sé), Viseu;180.000;3.0;3.0;118.0;139.0;1.0;3.0;Energy Performance Certificate;False;False;False;False;51,5;False
1726;Chafé, Viana do Castelo;170.000;1.0;1.0;60.0;60.0;1.0;4.0;Not available;True;False;False;False;48,8;True
1727;Marco, Porto;198.000;2.0;3.0;86.0;86.0;1.0;5.0;Not available;True;False;True;True;47;True
1728;Chafé, Viana do Castelo;215.000;2.0;2.0;81.0;81.0;1.0;4.0;Not available;True;False;False;False;48,8;True
1729;Marco, Porto;188.000;2.0;3.0;76.0;76.0;1.0;3.0;Not available;True;False;True;True;47;True
1730;Chafé, Viana do Castelo;200.000;2.0;2.0;77.0;77.0;1.0;3.0;Not available;True;False;False;False;48,8;True
1731;Chafé, Viana do Castelo;155.000;1.0;1.0;43.0;43.0;1.0;3.0;Not available;True;False;False;False;48,8;True
1732;Bragaparque, Braga;260.000;3.0;2.0;130.0;130.0;1.0;7.0;Energy Performance Certificate;False;False;False;True;44,4;False
1733;Chafé, Viana do Castelo;160.000;1.0;1.0;47.0;47.0;1.0;3.0;Not available;True;False;False;False;48,8;True
1734;Nogueira, Fraião e Lamaçães, Braga;265.000;3.0;2.0;115.0;141.0;1.0;1.0;Energy Performance Certificate;False;False;False;True;44,4;False
1735;Chafé, Viana do Castelo;160.000;1.0;1.0;44.0;44.0;1.0;3.0;Not available;True;False;False;False;48,8;True
1736;Chafé, Viana do Castelo;160.000;1.0;1.0;46.0;46.0;1.0;3.0;Not available;True;False;False;False;48,8;True
1737;Chafé, Viana do Castelo;165.000;1.0;1.0;60.0;60.0;1.0;3.0;Not available;True;False;False;False;48,8;True
1738;Porto, Porto;525.000;3.0;3.0;140.0;158.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;47;True
1739;Chafé, Viana do Castelo;200.000;2.0;2.0;81.0;81.0;1.0;3.0;Not available;True;False;False;False;48,8;True
1740;Planalto, Leiria;184.000;2.0;;;;;;Not available;True;False;False;False;46,4;False
1741;Chafé, Viana do Castelo;195.000;2.0;2.0;77.0;77.0;1.0;2.0;Not available;True;False;False;False;48,8;True
1742;Chafé, Viana do Castelo;150.000;1.0;1.0;43.0;43.0;1.0;2.0;Not available;True;False;False;False;48,8;True
1743;Chafé, Viana do Castelo;155.000;1.0;1.0;47.0;47.0;1.0;2.0;Not available;True;False;False;False;48,8;True
1744;Chafé, Viana do Castelo;155.000;1.0;1.0;44.0;44.0;1.0;2.0;Not available;True;False;False;False;48,8;True
1745;Chafé, Viana do Castelo;165.000;1.0;1.0;60.0;60.0;1.0;2.0;Not available;True;False;False;False;48,8;True
1746;Chafé, Viana do Castelo;195.000;2.0;2.0;81.0;81.0;1.0;2.0;Not available;True;False;False;False;48,8;True
1747;Marco, Porto;140.000;1.0;1.0;54.0;54.0;;;Not available;True;False;True;True;47;True
1748;Damaia, Amadora;Under Consultation;2.0;1.0;61.0;72.0;;;Not available;True;False;True;True;44,1;False
