;Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Median Age;Coastal Locations
918;Águas Santas, Porto;385.100;3.0;3.0;120.0;142.0;1.0;1.0;Not available;True;False;True;True;47;True
919;Águas Santas, Porto;385.100;3.0;3.0;120.0;142.0;1.0;1.0;Not available;True;False;True;True;47;True
920;Santa Maria, São Pedro e Matacães, Lisboa;220.000;2.0;1.0;89.0;104.0;;;Not available;True;True;True;True;44,8;False
921;Águas Santas, Porto;380.100;3.0;3.0;120.0;138.0;1.0;0.0;Not available;True;False;True;True;47;True
922;Buraca, Amadora;270.000;3.0;2.0;86.0;96.0;;;Not available;True;False;True;True;44,1;False
923;Águas Santas, Porto;463.800;3.0;3.0;120.0;218.0;2.0;0.0;Not available;True;False;True;True;47;True
924;Águas Santas, Porto;374.100;2.0;2.0;92.0;169.0;1.0;0.0;Not available;True;False;True;True;47;True
925;Águas Santas, Porto;454.500;3.0;3.0;120.0;208.0;2.0;0.0;Not available;True;False;True;True;47;True
926;Águas Santas, Porto;380.100;3.0;3.0;120.0;139.0;1.0;0.0;Not available;True;False;True;True;47;True
927;Olivais, Lisboa;525.000;;;;;;6.0;Not available;False;True;True;True;44,8;False
928;Moscavide, Loures;299.000;0.0;1.0;44.0;44.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;44,6;False
929;Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;229.900;4.0;2.0;93.0;110.0;0.0;1.0;Energy Performance Certificate;False;False;True;True;44,9;False
930;Costa da Caparica, Setúbal;279.000;2.0;1.0;85.0;86.0;;;Not available;True;False;True;True;46,6;True
931;Amadora / Encosta do Sol, Amadora;254.000;2.0;1.0;76.0;76.0;;;Not available;True;False;True;True;44,1;False
932;Frazão Arreigada, Porto;155.000;3.0;2.0;90.0;102.0;1.0;2.0;Not available;True;False;True;True;47;True
933;Cascais e Estoril, Lisboa;370.000;3.0;2.0;98.0;98.0;;;Not available;True;True;True;True;46,9;True
934;Damaia de Cima, Amadora;330.000;3.0;2.0;107.0;110.0;1.0;1.0;Energy Performance Certificate;False;False;True;True;44,1;False
935;Fátima, Santarém;220.000;2.0;2.0;90.0;98.0;1.0;3.0;Energy Performance Certificate;False;False;False;False;48,3;False
936;Moita, Setúbal;146.000;2.0;2.0;80.0;89.0;;;Not available;True;False;True;True;45;False
937;Baixa da Banheira e Vale da Amoreira, Setúbal;Under Consultation;1.0;1.0;51.0;51.0;;;Not available;True;False;True;True;46,6;False
938;Ramada e Caneças, Lisboa;289.900;3.0;2.0;125.0;136.0;1.0;1.0;Energy Performance Certificate;False;True;True;True;44,8;False
939;Canidelo, Porto;185.000;2.0;2.0;88.0;105.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;47;True
940;Árvore, Vila do Conde;179.000;1.0;1.0;57.0;57.0;1.0;0.0;Not available;True;False;False;False;45,7;False
941;Laranjeiro, Almada;245.000;3.0;2.0;61.0;72.0;;;Not available;True;False;True;False;46,3;False
942;Ajuda, Lisboa;179.000;1.0;1.0;25.0;30.0;;;Not available;True;True;True;True;44,8;False
943;SJM 4, São João da Madeira;190.000;2.0;2.0;75.0;82.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;47;False
944;Santos, Lisboa, Lisboa;649.980;5.0;1.0;120.0;120.0;;;Not available;True;True;True;True;44,8;False
945;Vila Real de Santo António, Vila Real de Santo António;157.500;1.0;1.0;45.0;54.0;;;Not available;True;False;False;False;48,5;False
946;Cascais e Estoril, Lisboa;520.000;3.0;2.0;98.0;99.0;;;Not available;True;True;True;True;46,9;True
947;Centro, Aveiro;481.280;3.0;;;;;;Not available;True;False;False;False;45,5;True
948;Centro, Aveiro;388.800;2.0;;;;;;Not available;True;False;False;False;45,5;True
949;Centro, Aveiro;389.280;2.0;;;;;;Not available;True;False;False;False;45,5;True
950;Centro, Aveiro;404.640;2.0;;;;;;Not available;True;False;False;False;45,5;True
951;Charneca de Caparica e Sobreda, Setúbal;365.000;2.0;2.0;100.0;86.0;0.0;1.0;Not available;True;False;True;True;46,6;False
952;Paços de Ferreira, Porto;212.000;;;;;;6.0;Not available;False;False;True;True;47;True
953;Centro, Aveiro;465.120;3.0;;;;;;Not available;True;False;False;False;45,5;True
954;Cruz de Pau, Seixal;149.900;2.0;2.0;85.0;85.0;;;Not available;True;False;False;False;44,9;False
955;Centro de Carnaxide, Oeiras;285.000;2.0;1.0;90.0;96.0;;;Not available;True;False;False;False;46,5;False
956;Centro, Aveiro;500.640;3.0;;;;;;Not available;True;False;False;False;45,5;True
957;Centro, Aveiro;351.360;2.0;;;;;;Not available;True;False;False;False;45,5;True
958;Centro, Aveiro;486.280;3.0;;;;;;Not available;True;False;False;False;45,5;True
959;Centro, Aveiro;394.280;2.0;;;;;;Not available;True;False;False;False;45,5;True
960;Centro, Aveiro;409.640;2.0;;;;;;Not available;True;False;False;False;45,5;True
961;Centro, Aveiro;470.120;3.0;;;;;;Not available;True;False;False;False;45,5;True
962;Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;275.000;1.0;1.0;34.0;34.0;1.0;1.0;Not available;True;False;True;True;47;True
963;Bairro Norton de Matos, Coimbra;189.000;2.0;1.0;64.0;110.0;;;Not available;True;False;False;True;48,3;False
964;Centro, Aveiro;475.400;3.0;;;;;;Not available;True;False;False;False;45,5;True
965;Chainça, Abrantes;137.500;3.0;2.0;103.0;103.0;;;Not available;True;False;False;False;53,4;False
966;Armação de Pêra, Silves;240.000;2.0;1.0;43.0;57.0;1.0;3.0;Energy Performance Certificate;False;False;False;False;47,1;True
967;Centro, Aveiro;491.280;3.0;;;;;;Not available;True;False;False;False;45,5;True
968;Centro, Aveiro;398.800;2.0;;;;;;Not available;True;False;False;False;45,5;True
969;Centro, Aveiro;399.280;2.0;;;;;;Not available;True;False;False;False;45,5;True
970;Vilamoura, Loulé;20.600;1.0;1.0;57.0;74.0;;;Not available;True;False;False;False;46,9;False
971;Centro, Aveiro;414.640;2.0;;;;;;Not available;True;False;False;False;45,5;True
972;Centro, Aveiro;475.120;3.0;;;;;;Not available;True;False;False;False;45,5;True
973;Centro, Aveiro;498.160;3.0;;;;;;Not available;True;False;False;False;45,5;True
974;Centro, Aveiro;496.280;3.0;;;;;;Not available;True;False;False;False;45,5;True
975;Centro, Aveiro;403.800;2.0;;;;;;Not available;True;False;False;False;45,5;True
976;Centro, Aveiro;404.280;2.0;;;;;;Not available;True;False;False;False;45,5;True
977;Centro, Aveiro;419.640;2.0;;;;;;Not available;True;False;False;False;45,5;True
978;Vilamoura, Loulé;20.600;1.0;1.0;57.0;74.0;0.0;3.0;Not available;True;False;False;False;46,9;False
979;Centro, Aveiro;480.120;3.0;;;;;;Not available;True;False;False;False;45,5;True
980;Aos Arneiros, Lisboa;450.000;4.0;1.0;100.0;110.0;;;Not available;True;True;True;True;44,8;False
981;Centro, Aveiro;496.120;3.0;;;;;;Not available;True;False;False;False;45,5;True
982;Monte Abraão, Sintra;150.000;2.0;1.0;61.0;71.0;;;Not available;True;False;False;False;43,7;False
983;Centro, Aveiro;501.280;3.0;;;;;;Not available;True;False;False;False;45,5;True
984;Aos Arneiros, Lisboa;450.000;4.0;1.0;100.0;110.0;;;Not available;True;True;True;True;44,8;False
985;Centro, Aveiro;408.800;2.0;;;;;;Not available;True;False;False;False;45,5;True
986;Lordelo, Porto;185.000;2.0;2.0;93.0;110.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;47;True
987;Centro, Aveiro;409.280;2.0;;;;;;Not available;True;False;False;False;45,5;True
988;Cova da Piedade, Almada;265.000;3.0;2.0;91.0;101.0;;;Not available;True;False;True;False;46,3;False
989;Centro, Aveiro;485.120;3.0;;;;;;Not available;True;False;False;False;45,5;True
990;Centro, Aveiro;506.280;3.0;;;;;;Not available;True;False;False;False;45,5;True
991;Aos Arneiros, Lisboa;260.000;1.0;1.0;48.0;52.0;;;Not available;True;True;True;True;44,8;False
992;Centro, Aveiro;413.800;2.0;;;;;;Not available;True;False;False;False;45,5;True
993;Pêra, Silves;187.000;2.0;1.0;59.0;75.0;0.0;1.0;Not available;True;False;False;False;47,1;False
994;Olaias, Lisboa;245.000;2.0;1.0;66.0;77.0;;;Not available;True;True;True;True;44,8;False
995;Centro, Aveiro;449.640;2.0;;;;;;Not available;True;False;False;False;45,5;True
996;Agualva e Mira-Sintra, Lisboa;220.000;4.0;2.0;120.0;130.0;;;Not available;True;True;True;True;51,2;False
997;Centro, Aveiro;586.760;3.0;;;;;;Not available;True;False;False;False;45,5;True
998;Centro, Aveiro;365.000;3.0;;;;;;Not available;True;False;False;False;45,5;True
999;Centro, Aveiro;300.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1000;Centro, Aveiro;375.000;3.0;;;;;;Not available;True;False;False;False;45,5;True
1001;Centro, Aveiro;305.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1002;Centro, Aveiro;310.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1003;Braga (São José de São Lázaro e São João do Souto), Braga;170.000;3.0;2.0;95.0;110.0;1.0;0.0;Not available;True;False;False;True;44,4;False
1004;Centro, Aveiro;310.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1005;Centro, Aveiro;380.000;3.0;;;;;;Not available;True;False;False;False;45,5;True
1006;Centro, Aveiro;315.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1007;Centro, Aveiro;320.000;4.0;;;;;;Not available;True;False;False;False;45,5;True
1008;Cova da Piedade, Almada;235.000;3.0;1.0;70.0;82.0;;;Not available;True;False;True;False;46,3;False
1009;Seia, São Romão e Lapa dos Dinheiros, Guarda;Under Consultation;3.0;2.0;127.0;145.0;1.0;0.0;Not available;True;False;False;False;49,6;False
1010;Seia, São Romão e Lapa dos Dinheiros, Guarda;Under Consultation;2.0;2.0;107.0;125.0;1.0;0.0;Not available;True;False;False;False;49,6;False
1011;Seia, São Romão e Lapa dos Dinheiros, Guarda;Under Consultation;3.0;2.0;100.0;149.0;1.0;1.0;Not available;True;False;False;False;49,6;False
1012;Mem Martins, Sintra;185.000;2.0;1.0;72.0;82.0;;;Not available;True;False;False;False;43,7;False
1013;Queluz e Belas, Lisboa;385.000;2.0;2.0;94.0;159.0;3.0;7.0;Energy Performance Certificate;False;True;True;True;44,8;False
1014;Costa da Caparica, Setúbal;279.900;2.0;2.0;76.0;76.0;;;Not available;True;False;True;True;46,6;True
1015;Ponta Delgada (São Pedro), Ilha de São Miguel;695.000;2.0;3.0;123.0;123.0;1.0;1.0;Not available;True;False;False;False;42,2;False
1016;Seia, São Romão e Lapa dos Dinheiros, Guarda;Under Consultation;3.0;2.0;119.0;131.0;1.0;0.0;Not available;True;False;False;False;49,6;False
1017;Vilamoura, Loulé;240.000;1.0;1.0;63.0;70.0;1.0;2.0;Not available;True;False;False;False;46,9;False
1018;Ramalde, Porto;Under Consultation;4.0;4.0;232.0;232.0;2.0;5.0;Not available;True;False;True;True;47;True
1019;Centro, Aveiro;435.000;3.0;;;;;;Not available;True;False;False;False;45,5;True
1020;Campo de Ourique, Lisboa;840.000;3.0;2.0;100.0;132.0;1.0;1.0;Energy Performance Certificate;False;True;True;True;44,8;False
1021;Tavira, Tavira;169.000;1.0;1.0;54.0;61.0;;;Not available;True;False;False;False;51,2;True
1022;Senhora da Hora, Matosinhos;322.500;3.0;2.0;118.0;135.0;1.0;1.0;Energy Performance Certificate;False;False;True;False;47,5;False
1023;Seia, São Romão e Lapa dos Dinheiros, Guarda;Under Consultation;3.0;2.0;100.0;149.0;1.0;0.0;Not available;True;False;False;False;49,6;False
1024;Costa da Caparica, Setúbal;268.000;1.0;1.0;46.0;50.0;;;Not available;True;False;True;True;46,6;True
1025;Seia, São Romão e Lapa dos Dinheiros, Guarda;Under Consultation;2.0;2.0;107.0;125.0;1.0;1.0;Not available;True;False;False;False;49,6;False
1026;Vilamoura, Loulé;225.000;1.0;1.0;61.0;61.0;;;Not available;True;False;False;False;46,9;False
1027;Funchal (São Pedro), Ilha da Madeira;398.000;3.0;2.0;100.0;106.0;;;Not available;True;False;False;True;48;False
1028;Trafaria, Almada;260.000;2.0;1.0;58.0;63.0;;;Not available;True;False;True;False;46,3;False
1029;Ponta Delgada (São José), Ilha de São Miguel;230.000;2.0;1.0;93.0;87.0;;;Not available;True;False;False;False;42,2;False
1030;Pontinha e Famões, Lisboa;139.900;2.0;;;;;;Not available;True;True;True;True;44,8;False
1031;Praia da Rocha, Portimão;180.000;1.0;1.0;43.0;48.0;;;Not available;True;False;False;False;45,5;True
1032;Santa Marinha e São Pedro da Afurada, Porto;530.000;3.0;3.0;128.0;158.0;2.0;;Not available;False;False;True;True;47;True
1033;Santa Marta do Pinhal, Seixal;200.000;2.0;1.0;91.0;91.0;;;Not available;True;False;False;False;44,9;False
1034;Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;190.000;2.0;1.0;65.0;65.0;;;Not available;True;False;True;True;44,9;False
1035;Costa Cabral, Porto;266.500;3.0;2.0;88.0;98.0;;;Not available;True;False;True;True;47;True
1036;Centro, Aveiro;365.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1037;Santa Apolónia, Bragança;138.000;4.0;2.0;119.0;134.0;1.0;2.0;Not available;True;False;False;True;44,4;False
1038;Olivais Sul, Lisboa;268.000;2.0;1.0;70.0;70.0;;;Not available;True;True;True;True;44,8;False
1039;Mina de Água, Lisboa;Under Consultation;2.0;;;;;;Not available;True;True;True;True;44,8;False
1040;Vila Chã, Codal e Vila Cova de Perrinho, Aveiro;196.000;3.0;2.0;143.0;143.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;45,5;True
1041;Centro, Aveiro;465.000;3.0;;;;;;Not available;True;False;False;False;45,5;True
1042;Venda do Pinheiro, Mafra;220.000;2.0;1.0;79.0;97.0;;;Not available;True;False;False;False;43,8;False
1043;Porto, Porto;1.250.000;4.0;5.0;257.0;471.0;3.0;5.0;Not available;True;False;True;True;47;True
1044;Canidelo, Vila Nova de Gaia;199.000;2.0;2.0;120.0;128.0;1.0;1.0;Energy Performance Certificate;False;False;True;True;46,8;False
1045;Centro, Aveiro;295.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1046;Porto, Porto;770.000;3.0;3.0;178.0;189.0;2.0;1.0;Not available;True;False;True;True;47;True
1047;Porto, Porto;700.000;3.0;4.0;188.0;209.0;2.0;1.0;Not available;True;False;True;True;47;True
1048;Centro, Aveiro;475.000;3.0;;;;;;Not available;True;False;False;False;45,5;True
1049;Porto, Porto;820.000;4.0;5.0;232.0;330.0;3.0;0.0;Not available;True;False;True;True;47;True
1050;Viseu, Viseu;165.000;1.0;1.0;56.0;103.0;1.0;2.0;Not available;True;False;False;False;46,9;False
1051;Centro, Aveiro;300.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1052;Porto, Porto;600.000;3.0;4.0;160.0;238.0;3.0;0.0;Not available;True;False;True;True;47;True
1053;Samora Correia, Benavente;Under Consultation;3.0;2.0;176.0;;;;Not available;True;False;False;False;44,2;False
1054;Santa Marinha e São Pedro da Afurada, Porto;650.000;3.0;4.0;134.0;154.0;2.0;8.0;Energy Performance Certificate;False;False;True;True;47;True
1055;Centro, Aveiro;340.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1056;Praia, Póvoa de Varzim;285.000;3.0;2.0;110.0;128.0;;;Not available;True;False;True;False;45,8;False
1057;Centro, Aveiro;290.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1058;Monte da Caparica, Almada;185.000;2.0;1.0;90.0;115.0;1.0;0.0;Energy Performance Certificate;False;False;True;False;46,3;False
1059;Continente, Loulé;295.000;3.0;3.0;101.0;101.0;;;Not available;True;False;False;False;46,9;False
1060;Centro, Aveiro;320.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1061;Centro, Aveiro;495.000;3.0;;;;;;Not available;True;False;False;False;45,5;True
1062;ANSIÃO, Ansião;96.000;1.0;1.0;53.0;60.0;1.0;1.0;Not available;True;False;False;False;53,4;False
1063;Centro, Aveiro;305.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1064;Santo Tirso, Santo Tirso;215.000;3.0;3.0;158.0;158.0;;;Not available;True;False;False;False;49,5;False
1065;Rio Tinto, Porto;219.000;3.0;3.0;125.0;159.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;47;True
1066;Celas, Coimbra;300.000;4.0;2.0;108.0;135.0;1.0;0.0;Not available;True;False;False;True;48,3;False
1067;Paços de Ferreira, Porto;265.000;3.0;2.0;144.0;190.0;2.0;2.0;Energy Performance Certificate;False;False;True;True;47;True
1068;Centro, Aveiro;345.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1069;Eiriz, Porto;175.000;3.0;2.0;126.0;151.0;2.0;2.0;Not available;True;False;True;True;47;True
1070;Monte Gordo, Faro;195.000;0.0;1.0;53.0;53.0;;;Not available;True;False;False;False;45,7;True
1071;Centro, Aveiro;295.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1072;Celas, Coimbra;150.000;1.0;1.0;45.0;54.0;;;Not available;True;False;False;True;48,3;False
1073;Boavista, Porto;730.000;4.0;3.0;193.0;;;;Not available;True;False;True;True;47;True
1074;Parque das Nações - Expo Norte, Lisboa;499.900;2.0;2.0;77.0;77.0;1.0;3.0;Energy Performance Certificate;False;True;True;True;44,8;False
1075;Centro, Aveiro;345.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1076;Tomar (São João Baptista) e Santa Maria dos Olivais, Santarém;195.000;3.0;2.0;128.0;128.0;2.0;1.0;Not available;True;False;False;False;52,8;False
1077;Sítio de Sao Pedro/ Alto do Cano, Tavira;765.000;3.0;2.0;103.0;119.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;51,2;True
1078;Centro, Aveiro;500.000;3.0;;;;;;Not available;True;False;False;False;45,5;True
1079;Ermesinde, Porto;158.000;2.0;2.0;79.0;96.0;1.0;3.0;Not available;True;False;True;True;47;True
1080;Aos Arneiros, Lisboa;375.000;2.0;1.0;70.0;76.0;;;Not available;True;True;True;True;44,8;False
1081;Aos Arneiros, Lisboa;375.000;2.0;1.0;70.0;76.0;;;Not available;True;True;True;True;44,8;False
1082;Massamá e Monte Abraão, Lisboa;322.500;3.0;2.0;125.0;157.0;1.0;;Not available;True;True;True;True;44,8;False
1083;Almancil Centro, Loulé;330.000;3.0;3.0;103.0;128.0;1.0;2.0;Not available;False;False;False;False;46,9;False
1084;Alhandra, Vila Franca de Xira;Under Consultation;2.0;1.0;81.0;81.0;;;Not available;True;False;False;False;44,1;False
1085;Aeroporto, Maia;226.750;2.0;2.0;96.0;96.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;45,5;False
1086;Centro, Aveiro;335.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1087;Vila Nova de Milfontes, Beja;195.000;1.0;1.0;70.0;70.0;;;Not available;True;False;False;False;46,5;False
1088;Centro, Aveiro;385.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1089;Apúlia, Esposende;215.000;2.0;2.0;93.0;125.0;2.0;1.0;Not available;True;False;False;False;45,3;False
1090;Centro, Aveiro;325.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1091;Sto. Ovídio, Vila Nova de Gaia;215.000;2.0;2.0;81.0;101.0;1.0;1.0;Energy Performance Certificate;False;False;True;True;46,8;False
1092;Marvila, Lisboa;365.000;3.0;2.0;97.0;97.0;;;Not available;True;True;True;True;44,8;False
1093;Olivais Sul, Lisboa;240.000;2.0;1.0;55.0;55.0;;;Not available;True;True;True;True;44,8;False
1094;Centro, Aveiro;350.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1095;Fonte Nova, Lisboa;197.000;1.0;1.0;36.0;39.0;0.0;0.0;Not available;True;True;True;True;44,8;False
1096;Abraveses, Viseu;160.000;3.0;2.0;131.0;179.0;1.0;3.0;Energy Performance Certificate;False;False;False;False;46,9;False
1097;Olivais Norte, Lisboa;320.000;3.0;1.0;70.0;70.0;;;Not available;True;True;True;True;44,8;False
1098;Olivais, Coimbra;220.000;3.0;2.0;142.0;150.0;;;Not available;True;False;False;True;48,3;False
1099;Santo Tirso, Santo Tirso;153.000;3.0;2.0;101.0;101.0;1.0;1.0;Not available;True;False;False;False;49,5;False
1100;Oliveira do Douro, Porto;187.500;3.0;2.0;101.0;122.0;1.0;1.0;Not available;True;False;True;True;47;True
1101;Eiras e São Paulo de Frades, Coimbra;215.000;3.0;2.0;92.0;106.0;2.0;2.0;Energy Performance Certificate;False;False;False;True;48,3;False
1102;Conceição e Cabanas de Tavira, Faro;175.000;0.0;1.0;34.0;34.0;1.0;1.0;Not available;True;False;False;False;45,7;True
1103;Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa;450.000;3.0;2.0;98.0;119.0;1.0;0.0;Energy Performance Certificate;False;True;True;True;44,8;False
1104;Mafamude e Vilar do Paraíso, Porto;189.000;3.0;2.0;112.0;133.0;1.0;4.0;Energy Performance Certificate;False;False;True;True;47;True
1105;Pedra Mourinha, Portimão;270.000;3.0;2.0;105.0;123.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;45,5;True
1106;Oliveira do Douro, Porto;165.000;3.0;2.0;110.0;148.0;1.0;2.0;Not available;True;False;True;True;47;True
1107;Centro, Aveiro;520.000;3.0;;;;;;Not available;True;False;False;False;45,5;True
1108;Centro, Aveiro;335.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1109;Canidelo, Porto;240.000;2.0;2.0;83.0;110.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;47;True
1110;Celas, Coimbra;240.000;3.0;2.0;78.0;105.0;1.0;0.0;Not available;True;False;False;True;48,3;False
1111;Águas Santas, Porto;175.000;3.0;2.0;100.0;118.0;1.0;1.0;Energy Performance Certificate;False;False;True;True;47;True
1112;Santa Apolónia, Coimbra;250.000;6.0;3.0;138.0;229.0;6.0;1.0;Not available;True;False;False;True;48,3;False
1113;Baleal, Peniche;395.000;3.0;3.0;152.0;214.0;2.0;3.0;Energy Performance Certificate;False;False;False;False;47,9;True
1114;Centro, Aveiro;375.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1115;Centro, Aveiro;355.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1116;Centro, Aveiro;335.000;2.0;;;;;;Not available;True;False;False;False;45,5;True
1117;Cacém e São Marcos, Lisboa;249.000;3.0;2.0;89.0;95.0;1.0;7.0;Energy Performance Certificate;False;True;True;True;44,8;False
1118;Canidelo, Porto;265.000;3.0;2.0;106.0;106.0;1.0;1.0;Energy Performance Certificate;False;False;True;True;47;True
1119;Areia Branca, Lourinhã;792.000;4.0;3.0;107.0;176.0;1.0;0.0;Not available;True;False;False;False;47,1;False
1120;Algueirão-Mem Martins, Lisboa;220.000;;;;;2.0;3.0;Not available;False;True;True;True;44,8;False
1121;Alto dos Barronhos, Oeiras;Under Consultation;3.0;2.0;85.0;92.0;;;Not available;True;False;False;False;46,5;False
1122;Sé, Santa Maria e Meixedo, Bragança;230.000;5.0;5.0;206.0;110.0;2.0;4.0;Not available;False;False;False;True;44,4;False
1123;À Av. Uruguai, Lisboa;338.000;2.0;1.0;65.0;81.0;;;Not available;True;True;True;True;44,8;False
1124;Vila Nova Caparica, Almada;289.000;3.0;2.0;96.0;128.0;0.0;1.0;Energy Performance Certificate;False;False;True;False;46,3;False
1125;Encosta da Barata, Abrantes;Under Consultation;3.0;2.0;111.0;111.0;;;Not available;True;False;False;False;53,4;False
1126;Garajau, Santa Cruz;183.000;1.0;1.0;68.0;82.0;1.0;0.0;Energy Performance Certificate;False;False;False;False;43,7;False
1127;Alcântara, Lisboa;1.085.000;3.0;3.0;150.0;155.0;;;Not available;True;True;True;True;44,8;False
1128;Moreira, Porto;198.900;1.0;2.0;56.0;59.0;1.0;;Not available;True;False;True;True;47;True
1129;Santa Marinha e São Pedro da Afurada, Porto;179.000;0.0;1.0;;;;;Not available;True;False;True;True;47;True
1130;Arca d´ Água, Porto;233.000;1.0;1.0;;;;;Not available;True;False;True;True;47;True
1131;Valongo, Valongo;230.000;3.0;2.0;90.0;185.0;1.0;4.0;Energy Performance Certificate;False;False;False;False;45,1;False
1132;Lagos, Lagos;Under Consultation;2.0;1.0;78.0;88.0;;;Not available;True;False;False;False;48,7;True
1133;Algueirão-Mem Martins, Lisboa;190.000;3.0;2.0;70.0;100.0;1.0;3.0;Not available;True;True;True;True;44,8;False
1134;OVAR Centro, Ovar;135.000;2.0;1.0;70.0;73.0;;;Not available;True;False;False;False;47,1;False
1135;Baleal, Peniche;280.000;2.0;1.0;86.0;102.0;;;Not available;True;False;False;False;47,9;True
1136;À Av. Uruguai, Lisboa;399.900;3.0;2.0;85.0;91.0;;;Not available;True;True;True;True;44,8;False
1137;Valongo, Porto;165.000;2.0;1.0;78.0;83.0;1.0;2.0;Not available;True;False;True;True;47;True
1138;Montijo e Afonsoeiro, Setúbal;Under Consultation;3.0;2.0;94.0;88.0;;;Not available;True;False;True;True;42,6;False
1139;GAIA Madalena, Vila Nova de Gaia;335.000;3.0;3.0;107.0;107.0;2.0;2.0;Energy Performance Certificate;False;False;True;True;46,8;False
1140;Chinicato, Lagos;Under Consultation;2.0;2.0;98.0;123.0;1.0;2.0;Not available;True;False;False;False;48,7;True
1141;Qta do Marquês, Oeiras;460.000;3.0;2.0;93.0;118.0;1.0;4.0;Energy Performance Certificate;False;False;False;False;46,5;False
1142;Antas, Porto;210.000;2.0;2.0;101.0;129.0;1.0;2.0;Not available;True;False;True;True;47;True
1143;Senhora da Hora, Matosinhos;230.000;3.0;2.0;92.0;92.0;;;Not available;True;False;True;False;47,5;False
1144;Ramalde, Porto;189.000;3.0;1.0;85.0;85.0;0.0;0.0;Not available;True;False;True;True;47;True
1145;Olivais, Lisboa;249.000;2.0;1.0;72.0;72.0;;;Not available;True;True;True;True;44,8;False
1146;Antas, Porto;590.000;3.0;3.0;165.0;197.0;2.0;1.0;Energy Performance Certificate;False;False;True;True;47;True
1147;Miratejo, Seixal;159.000;2.0;1.0;63.0;72.0;;;Not available;True;False;False;False;51,2;False
1148;Bairro das Amendoeiras, Lisboa;250.000;3.0;1.0;92.0;92.0;;;Not available;True;True;True;True;44,8;False
1149;Foz do Douro, Porto;1.050.000;4.0;3.0;192.0;259.0;3.0;2.0;Energy Performance Certificate;False;False;True;True;47;True
1150;Rio Tinto - Areosa, Gondomar;139.500;2.0;1.0;80.0;85.0;;;Not available;True;False;True;False;47,1;False
1151;Lamego (Almacave e Sé), Viseu;215.000;4.0;3.0;131.0;165.0;1.0;0.0;Energy Performance Certificate;False;False;False;False;51,5;False
1152;Damaia de Cima, Amadora;255.000;2.0;2.0;93.0;98.0;;;Not available;True;False;True;True;44,1;False
1153;Damaia de Cima, Amadora;255.000;2.0;2.0;93.0;98.0;;;Not available;True;False;True;True;44,1;False
1154;Damaia de Cima, Amadora;255.000;3.0;2.0;85.0;90.0;;;Not available;True;False;True;True;44,1;False
1155;Paços de Ferreira, Porto;250.000;3.0;3.0;133.0;148.0;2.0;2.0;Not available;True;False;True;True;47;True
1156;Bragaparque, Braga;229.900;3.0;2.0;104.0;106.0;1.0;1.0;Energy Performance Certificate;False;False;False;True;44,4;False
1157;Avenidas Novas, Lisboa;345.000;0.0;1.0;43.0;54.0;1.0;2.0;Energy Performance Certificate;False;True;True;True;44,8;False
1158;Mafamude e Vilar do Paraíso, Porto;263.000;3.0;2.0;85.0;100.0;1.0;1.0;Not available;True;False;True;True;47;True
1159;QUINTA DA FÁBRICA DA PÓLVORA, Seixal;352.500;3.0;2.0;107.0;135.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;44,9;False
