Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Coastal Locations;Median Age;Distance To Ocean
Casal do Chapim, Odivelas;275.000;3.0;2.0;90.0;90.0;;;Not available;True;False;False;False;False;43,7;14
Senhora da Hora, Matosinhos;165.000;1.0;1.0;65.0;65.0;2.0;0.0;Not available;True;False;True;False;False;47,5;4
Cruz de Pau, Seixal;160.000;2.0;1.0;82.0;82.0;;;Not available;True;False;False;False;False;44,9;11
Feijó, Almada;280.000;3.0;2.0;81.0;98.0;1.0;0.0;Energy Performance Certificate;False;False;True;False;False;46,3;6
Carnide, Lisboa;430.000;3.0;1.0;74.0;81.0;;;Not available;True;True;True;True;False;44,8;11
S. Domingos Benfica, Lisboa;365.000;2.0;2.0;63.0;66.0;;;Not available;True;True;True;True;False;44,8;9
Olhão Centro, Olhão;240.000;3.0;2.0;82.0;105.0;;;Not available;True;False;False;False;True;46,2;63
Câmara de Lobos, Ilha da Madeira;279.000;;;;;2.0;2.0;Not available;False;False;False;False;False;42,4;915
Caniço, Ilha da Madeira;330.000;1.0;1.0;120.0;120.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;False;;906
Odivelas Centro, Odivelas;250.000;3.0;2.0;87.0;87.0;;;Not available;True;False;False;False;False;43,7;14
Baixa da Banheira e Vale da Amoreira, Setúbal;139.000;2.0;1.0;75.0;95.0;;;Not available;True;False;True;True;False;46,6;16
Currelos, Papízios e Sobral, Viseu;80.000;2.0;2.0;143.0;139.0;;;Not available;True;False;False;False;False;46,9;78
Lagares, Coimbra;127.500;3.0;2.0;86.0;96.0;1.0;1.0;Not available;True;False;False;True;False;48,3;90
Currelos, Papízios e Sobral, Viseu;95.000;2.0;2.0;83.0;107.0;;;Not available;True;False;False;False;False;46,9;78
Pontinha e Famões, Lisboa;159.500;1.0;1.0;47.0;47.0;;;Not available;True;True;True;True;False;44,8;12
Lamego (Almacave e Sé), Viseu;170.900;2.0;2.0;78.0;87.0;2.0;3.0;Not available;True;False;False;False;False;51,5;71
Águas Santas, Porto;520.000;4.0;4.0;145.0;308.0;2.0;6.0;Not available;True;False;True;True;True;47;10
Matadouro de Campanhã, Porto;190.000;2.0;2.0;66.0;90.0;0.0;1.0;Not available;True;False;True;True;True;47;8
Águas Santas, Porto;265.000;2.0;2.0;97.0;105.0;1.0;1.0;Not available;True;False;True;True;True;47;10
Portimão, Faro;265.500;;;;;;;Not available;True;False;False;False;True;45,7;1
Aos Arneiros, Lisboa;269.900;1.0;1.0;34.0;81.0;;;Not available;True;True;True;True;False;44,8;27
Estrela, Lisboa;Under Consultation;1.0;1.0;84.0;84.0;1.0;3.0;Not available;True;True;True;True;False;44,8;8
Travassô, Águeda;Under Consultation;2.0;2.0;98.0;98.0;2.0;0.0;Not available;True;False;False;False;False;49,1;47
Currelos, Papízios e Sobral, Viseu;145.000;3.0;1.0;111.0;148.0;;;Not available;True;False;False;False;False;46,9;78
Tomar (São João Baptista) e Santa Maria dos Olivais, Santarém;140.000;3.0;1.0;71.0;71.0;;;Not available;True;False;False;False;False;52,8;6479
Esposende, Esposende;245.000;3.0;2.0;161.0;161.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;False;45,3;2
Urb. Colinas do Cruzeiro, Odivelas;548.000;3.0;2.0;126.0;206.0;4.0;5.0;Energy Performance Certificate;False;False;False;False;False;43,7;13
Souto do Rio, Águeda;120.000;2.0;1.0;78.0;78.0;0.0;2.0;Not available;True;False;False;False;False;49,1;52
São Félix da Marinha, Porto;480.000;3.0;2.0;145.0;196.0;2.0;1.0;Energy Performance Certificate;False;False;True;True;True;47;2
Belas, Sintra;220.000;2.0;1.0;63.0;67.0;;;Not available;True;False;False;False;False;43,7;9
Galiza, Porto;195.000;1.0;1.0;46.0;51.0;0.0;8.0;Energy Performance Certificate;False;False;True;True;True;47;47
Paços de Ferreira, Porto;157.000;2.0;1.0;95.0;95.0;1.0;2.0;Not available;True;False;True;True;True;47;28
Portimão, Faro;262.500;;2.0;;;1.0;7.0;Not available;False;False;False;False;True;45,7;1
Massamá 2ª Fase, Sintra;180.000;2.0;1.0;70.0;85.0;;;Not available;True;False;False;False;False;43,7;6
Sacavém e Prior Velho, Lisboa;194.000;2.0;1.0;70.0;;;;Not available;True;True;True;True;False;44,8;18
Paranhos, Porto;Under Consultation;3.0;2.0;130.0;135.0;;;Not available;True;False;True;True;True;47;6
Hospital da Cruz Vermelha - Laranjeiras, Lisboa;550.000;3.0;2.0;145.0;145.0;;;Not available;True;True;True;True;False;44,8;11
Pedroso e Seixezelo, Porto;160.000;1.0;1.0;;;;;Not available;True;False;True;True;True;47;9
Torres Novas (São Pedro), Lapas e Ribeira Branca, Santarém;94.500;4.0;;;;;;Not available;True;False;False;False;False;50,2;83
Santa Marinha e São Pedro da Afurada, Porto;240.000;3.0;2.0;101.0;105.0;;;Not available;True;False;True;True;True;47;4
Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;455.000;2.0;2.0;80.0;98.0;1.0;0.0;Energy Performance Certificate;False;False;True;True;False;44,9;11
Ermesinde, Porto;180.000;2.0;2.0;89.0;93.0;1.0;1.0;Energy Performance Certificate;False;False;True;True;True;47;12
Laranjeiras Metro, Lisboa;810.000;4.0;2.0;170.0;170.0;2.0;7.0;Energy Performance Certificate;False;True;True;True;False;44,8;11
Massamá 6ª Fase, Sintra;329.900;3.0;2.0;140.0;155.0;;;Not available;True;False;False;False;False;43,7;6
Ferrel, Peniche;355.000;3.0;2.0;91.0;115.0;1.0;1.0;Not available;True;False;False;False;True;47,9;5
Ferrel, Peniche;340.000;3.0;2.0;75.0;96.0;1.0;1.0;Not available;True;False;False;False;True;47,9;5
Ferrel, Peniche;240.000;1.0;1.0;53.0;67.0;1.0;0.0;Not available;True;False;False;False;True;47,9;5
Ferrel, Peniche;290.000;2.0;2.0;66.0;81.0;1.0;0.0;Not available;True;False;False;False;True;47,9;5
Ferrel, Peniche;330.000;3.0;2.0;74.0;96.0;1.0;0.0;Not available;True;False;False;False;True;47,9;5
Coronado (São Romão e São Mamede), Porto;174.000;3.0;2.0;130.0;147.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;True;47;16
Esposende, Marinhas e Gandra, Braga;210.000;2.0;2.0;85.0;91.0;1.0;;Not available;True;False;False;True;False;44,4;3
Santa Maria Maior, Lisboa;165.000;1.0;1.0;50.0;50.0;;;Not available;True;True;True;True;False;44,8;11
Póvoa de Varzim, Beiriz e Argivai, Porto;Under Consultation;3.0;2.0;100.0;100.0;1.0;1.0;Not available;True;False;True;True;True;47;14
Valadares e Francelos, Vila Nova de Gaia;174.900;2.0;2.0;70.0;77.0;1.0;;Not available;True;False;True;True;False;46,8;8
Gondomar (São Cosme), Valbom e Jovim, Porto;149.000;2.0;2.0;80.0;93.0;1.0;4.0;Energy Performance Certificate;False;False;True;True;True;47,1;11
Campolide, Lisboa;284.000;2.0;1.0;71.0;82.0;;;Not available;True;True;True;True;False;44,8;10
Covilhã, Covilhã;85.000;2.0;1.0;72.0;90.0;;;Not available;True;False;False;False;False;52;117
Mina, Amadora;200.000;2.0;1.0;50.0;60.0;;;Not available;True;False;True;True;False;44,1;9
St.º António da Caparica, Almada;449.900;4.0;2.0;112.0;148.0;;;Not available;True;False;True;False;False;46,3;0
São Domingos de Rana, Lisboa;590.000;3.0;2.0;100.0;161.0;2.0;1.0;Energy Performance Certificate;False;True;True;True;False;44,8;4
Vila Chã, Vila do Conde;269.000;3.0;2.0;97.0;97.0;1.0;3.0;Not available;True;False;False;False;False;45,7;16
São Félix da Marinha III, Vila Nova de Gaia;233.000;3.0;3.0;125.0;125.0;2.0;0.0;Not available;True;False;True;True;False;46,8;2
Avenidas Novas, Lisboa;480.000;;;;;1.0;;Not available;True;True;True;True;False;44,8;13
Vilar de Andorinho, Vila Nova de Gaia;155.000;2.0;1.0;92.0;100.0;0.0;1.0;Energy Performance Certificate;False;False;True;True;False;46,8;6
Caparica e Trafaria, Setúbal;199.000;2.0;1.0;75.0;77.0;1.0;1.0;Not available;True;False;True;True;False;46,6;2
Bairro Norton de Matos, Coimbra;310.000;3.0;2.0;97.0;119.0;;;Not available;True;False;False;True;False;48,3;40
Monte, Murtosa;157.000;2.0;1.0;93.0;113.0;1.0;2.0;Not available;True;False;False;False;False;46,8;28
Cacém e São Marcos, Lisboa;165.000;2.0;1.0;66.0;73.0;;;Not available;True;True;True;True;False;44,8;8
Lordelo do Ouro, Porto;525.000;5.0;3.0;166.0;197.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;True;47;1
Braga (Maximinos, Sé e Cividade), Braga;190.000;3.0;2.0;124.0;124.0;1.0;2.0;Not available;True;False;False;True;False;44,4;28
Quarteira, Faro;360.000;2.0;;;;;;Not available;True;False;False;False;True;45,7;38
Campanhã, Porto;187.000;3.0;2.0;92.0;96.0;0.0;3.0;Not available;True;False;True;True;True;47;8
Lagoa e Carvoeiro, Faro;235.000;2.0;1.0;71.0;100.0;;;Not available;True;False;False;False;True;45,7;9
Ajuda, Lisboa;199.000;1.0;1.0;50.0;55.0;0.0;1.0;Not available;True;True;True;True;False;44,8;8
São Cosme Zona 3, Gondomar;Under Consultation;2.0;1.0;85.0;94.0;1.0;1.0;Energy Performance Certificate;False;False;True;False;False;47,1;12
Paços de Ferreira, Porto;Under Consultation;2.0;1.0;76.0;76.0;1.0;2.0;Not available;True;False;True;True;True;47;28
Av. Fernão Magalhães, Coimbra;257.500;1.0;1.0;50.0;68.0;1.0;9.0;Energy Performance Certificate;False;False;False;True;False;48,3;38
Rio Tinto - Cidade Jovem, Gondomar;260.000;2.0;2.0;108.0;108.0;1.0;4.0;Energy Performance Certificate;False;False;True;False;False;47,1;11
Gulpilhares e Valadares, Porto;185.000;2.0;2.0;94.0;108.0;1.0;1.0;Energy Performance Certificate;False;False;True;True;True;47;7
Estrada Monumental, Funchal;595.000;2.0;2.0;64.0;94.0;2.0;9.0;Energy Performance Certificate;False;False;False;True;False;48;914
Oliveira do Douro, Porto;198.000;2.0;2.0;97.0;116.0;1.0;6.0;Energy Performance Certificate;False;False;True;True;True;47;7
Cidade da Maia, Porto;269.000;3.0;2.0;101.0;106.0;1.0;4.0;Energy Performance Certificate;False;False;True;True;True;45,5;9
S.Cosme, Gondomar;Under Consultation;1.0;1.0;46.0;46.0;0.0;0.0;Not available;True;False;True;False;False;47,1;12
Linda-a-velha, Oeiras;255.000;2.0;1.0;70.0;77.0;;;Not available;True;False;False;False;False;46,5;4
Lourinhã e Atalaia, Lisboa;173.000;1.0;1.0;51.0;57.0;1.0;;Not available;True;True;True;True;False;47,1;10
Massamá, Sintra;190.000;2.0;1.0;74.0;82.0;;;Not available;True;False;False;False;False;43,7;6
Gualtar, Braga;209.000;3.0;2.0;108.0;135.0;1.0;3.0;Not available;True;False;False;True;False;44,4;29
Lourinhã e Atalaia, Lisboa;280.000;;;;;2.0;;Not available;False;True;True;True;False;47,1;10
Torno, Porto;123.500;2.0;1.0;102.0;117.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;True;47;41
Cacilhas, Almada;185.000;2.0;1.0;69.0;72.0;;;Not available;True;False;True;False;False;46,3;8
Cacém e São Marcos, Lisboa;198.000;2.0;1.0;83.0;90.0;;;Not available;True;True;True;True;False;44,8;8
Cova da Piedade, Almada;329.000;2.0;2.0;94.0;122.0;1.0;2.0;Energy Performance Certificate;False;False;True;False;False;46,3;7
Samora Correia, Santarém;155.000;3.0;2.0;121.0;121.0;;;Not available;True;False;False;False;False;48,3;43
Alhandra, Vila Franca de Xira;125.000;2.0;1.0;45.0;64.0;;;Not available;True;False;False;False;False;44,1;35
Matosinhos e Leça da Palmeira, Porto;135.000;3.0;1.0;80.0;145.0;;;Not available;True;False;True;True;True;47,5;4
Ramalde, Porto;Under Consultation;1.0;1.0;70.0;70.0;1.0;0.0;Energy Performance Certificate;False;False;True;True;True;47;3
Mafamude e Vilar do Paraíso, Porto;275.000;2.0;2.0;117.0;134.0;1.0;5.0;Not available;False;False;True;True;True;47;6
Mafamude e Vilar do Paraíso, Porto;270.000;2.0;2.0;117.0;134.0;1.0;4.0;Not available;False;False;True;True;True;47;6
Mafamude e Vilar do Paraíso, Porto;190.000;1.0;2.0;85.0;85.0;;;Not available;True;False;True;True;True;47;6
Mafamude e Vilar do Paraíso, Porto;265.000;2.0;2.0;104.0;120.0;1.0;4.0;Not available;False;False;True;True;True;47;6
Mafamude e Vilar do Paraíso, Porto;270.000;2.0;2.0;117.0;137.0;1.0;3.0;Not available;False;False;True;True;True;47;6
Mafamude e Vilar do Paraíso, Porto;180.000;1.0;2.0;85.0;85.0;;;Not available;True;False;True;True;True;47;6
Mafamude e Vilar do Paraíso, Porto;265.000;2.0;2.0;117.0;133.0;1.0;2.0;Not available;False;False;True;True;True;47;6
Mafamude e Vilar do Paraíso, Porto;175.000;1.0;2.0;85.0;85.0;;;Not available;True;False;True;True;True;47;6
Mafamude e Vilar do Paraíso, Porto;210.000;2.0;2.0;104.0;104.0;;;Not available;True;False;True;True;True;47;6
Mafamude e Vilar do Paraíso, Porto;250.000;2.0;2.0;117.0;135.0;1.0;1.0;Not available;False;False;True;True;True;47;6
Mafamude e Vilar do Paraíso, Porto;170.000;1.0;2.0;86.0;86.0;;;Not available;True;False;True;True;True;47;6
Mafamude e Vilar do Paraíso, Porto;200.000;2.0;2.0;104.0;122.0;;;Not available;True;False;True;True;True;47;6
Mafamude e Vilar do Paraíso, Porto;160.000;1.0;2.0;67.0;67.0;;;Not available;True;False;True;True;True;47;6
Mafamude e Vilar do Paraíso, Porto;195.000;2.0;2.0;104.0;122.0;1.0;0.0;Not available;False;False;True;True;True;47;6
Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa;490.000;3.0;2.0;103.0;113.0;;;Not available;True;True;True;True;False;44,8;1
Selho (São Jorge), Braga;216.000;3.0;3.0;140.0;154.0;2.0;4.0;Not available;True;False;False;True;False;44,4;35
Graça, Lisboa;350.000;2.0;1.0;61.0;71.0;;;Not available;True;True;True;True;False;44,8;12
Chiado, Lisboa;895.000;3.0;4.0;147.0;163.0;;;Not available;True;True;True;True;False;44,8;10
Praça Rainha D. Amélia, Porto;165.000;1.0;1.0;40.0;43.0;;;Not available;True;False;True;True;True;47;6
Montijo e Afonsoeiro, Setúbal;197.500;3.0;2.0;78.0;95.0;;;Not available;True;False;True;True;False;42,6;25
Avenidas Novas, Lisboa;335.000;0.0;1.0;47.0;64.0;1.0;4.0;Energy Performance Certificate;False;True;True;True;False;44,8;13
Castelo Branco, Castelo Branco;137.000;4.0;2.0;148.0;195.0;;;Not available;True;False;False;False;False;50,5;124
Moncarapacho e Fuseta, Faro;165.000;1.0;1.0;64.0;64.0;1.0;1.0;Not available;True;False;False;False;True;45,7;66
São Domingos de Benfica, Lisboa;375.000;1.0;1.0;62.0;62.0;1.0;2.0;Not available;True;True;True;True;False;44,8;9
Vila do Conde, Porto;950.000;4.0;3.0;181.0;190.0;2.0;1.0;Energy Performance Certificate;False;False;True;True;True;47;18
Penha de França, Lisboa;350.000;3.0;1.0;;;;;Not available;True;True;True;True;False;44,8;12
Lavradio, Barreiro;115.000;2.0;1.0;52.0;61.0;;;Not available;True;False;False;False;False;47;15
Lumiar, Lisboa;299.000;1.0;1.0;66.0;66.0;1.0;0.0;Energy Performance Certificate;False;True;True;True;False;44,8;13
Estrada Monumental, Funchal;580.000;2.0;2.0;64.0;94.0;2.0;10.0;Energy Performance Certificate;False;False;False;True;False;48;914
ERA Palmela Azeitao, Seixal;170.000;2.0;1.0;79.0;87.0;;;Not available;True;False;False;False;False;45,3;29
Santa Marta do Pinhal, Seixal;182.000;2.0;1.0;77.0;77.0;;;Not available;True;False;False;False;False;44,9;11
ERA Palmela Azeitao, Barreiro;225.000;3.0;2.0;111.0;125.0;;;Not available;True;False;False;False;False;47;23
Massarelos, Porto;1.850.000;3.0;3.0;268.0;345.0;4.0;5.0;Not available;True;False;True;True;True;47;3
ERA Palmela Azeitao, Moita;120.000;1.0;1.0;51.0;61.0;;;Not available;True;False;False;False;False;45;29
Vale Churido, Bragança;139.000;3.0;2.0;;;;;Not available;True;False;False;True;False;44,4;170
Loures, Loures;240.000;2.0;1.0;63.0;63.0;;;Not available;True;False;False;False;False;44,6;18
Lamego (Almacave e Sé), Viseu;Under Consultation;3.0;2.0;101.0;111.0;1.0;2.0;Not available;True;False;False;False;False;51,5;71
Marvila, Lisboa;255.000;2.0;1.0;77.0;77.0;;;Not available;True;True;True;True;False;44,8;15
Santa Clara, Coimbra;168.000;2.0;1.0;90.0;98.0;1.0;;Not available;True;False;False;True;False;48,3;37
Rio Tinto, Porto;180.000;2.0;2.0;81.0;98.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;True;47;9
Vendas Novas, Évora;165.000;3.0;2.0;110.0;110.0;;;Not available;True;False;False;False;False;46,9;67
Loulé (São Sebastião), Faro;265.000;2.0;1.0;60.0;79.0;0.0;0.0;Not available;True;False;False;False;True;45,7;40
Loulé (São Sebastião), Faro;265.000;2.0;1.0;59.0;74.0;0.0;1.0;Not available;True;False;False;False;True;45,7;40
Loulé, Loulé;270.000;2.0;1.0;61.0;78.0;0.0;1.0;Not available;True;False;False;False;False;46,9;45
Marinha Grande, Leiria;155.000;3.0;2.0;100.0;108.0;1.0;2.0;Not available;True;False;False;False;False;46,4;46
Canidelo, Porto;625.000;2.0;2.0;92.0;105.0;2.0;3.0;Energy Performance Certificate;False;False;True;True;True;47;3
Castelo Branco, Castelo Branco;215.000;3.0;3.0;110.0;138.0;3.0;1.0;Not available;True;False;False;False;False;50,5;124
Vila Nova de Paiva, Vila Nova de Paiva;99.000;3.0;2.0;96.0;109.0;1.0;1.0;Not available;True;False;False;False;False;53,7;75
Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu), Coimbra;237.500;4.0;2.0;99.0;128.0;1.0;2.0;Not available;False;False;False;True;False;48,3;40
Granja Park, Castelo Branco;227.000;3.0;2.0;117.0;140.0;1.0;3.0;Energy Performance Certificate;False;False;False;False;False;50,5;123
Ajuda, Funchal;480.000;3.0;2.0;113.0;134.0;3.0;4.0;Energy Performance Certificate;False;False;False;True;False;48;913
Santa Marinha e São Pedro da Afurada, Porto;200.000;1.0;2.0;59.0;69.0;1.0;1.0;Not available;True;False;True;True;True;47;4
Entroncamento, Entroncamento;156.000;3.0;2.0;108.0;108.0;1.0;;Not available;True;False;False;False;False;45,5;77
Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;290.000;;;;;;3.0;Not available;False;False;True;True;True;47;5
Guarda, Guarda;82.380;4.0;2.0;80.0;90.0;;;Not available;True;False;False;False;False;49,6;160
Pampilhosa, Mealhada;120.000;2.0;1.0;92.0;101.0;;;Not available;True;False;False;False;False;49,3;43
Campolide, Lisboa;420.000;2.0;1.0;62.0;62.0;0.0;8.0;Energy Performance Certificate;False;True;True;True;False;44,8;10
Custóias, Matosinhos;178.000;2.0;1.0;68.0;83.0;1.0;0.0;Not available;True;False;True;False;False;47,5;6
Campo de Ourique, Lisboa;349.500;1.0;1.0;54.0;61.0;;;Not available;True;True;True;True;False;44,8;10
Alto Sto Amaro, Lisboa;250.000;1.0;1.0;27.0;37.0;0.0;0.0;Energy Performance Certificate;False;True;True;True;False;44,8;11
Alhos Vedros, Setúbal;95.000;1.0;;;;;;Not available;True;False;True;True;False;46,6;19
Vila Praia de Âncora, Viana do Castelo;280.000;4.0;3.0;155.0;161.0;2.0;;Not available;True;False;False;False;True;48,8;13
Paços de Ferreira, Porto;270.000;3.0;3.0;130.0;143.0;2.0;0.0;Energy Performance Certificate;False;False;True;True;True;47;28
Ponta Delgada (São Pedro), Ilha de São Miguel;445.000;3.0;2.0;197.0;197.0;2.0;3.0;Not available;False;False;False;False;False;42,2;1416
Corroios, Setúbal;170.000;3.0;1.0;93.0;93.0;;;Not available;True;False;True;True;False;46,6;7
Santa Marinha e Afurada, Vila Nova de Gaia;1.250.000;3.0;4.0;181.0;223.0;3.0;10.0;Not available;True;False;True;True;False;46,8;4
Vilamoura, Loulé;350.000;1.0;1.0;62.0;62.0;0.0;3.0;Not available;True;False;False;False;False;46,9;37
Santa Marinha e Afurada, Vila Nova de Gaia;650.000;3.0;3.0;128.0;156.0;2.0;6.0;Not available;True;False;True;True;False;46,8;4
São Marcos, Sintra;189.900;2.0;1.0;76.0;82.0;;;Not available;True;False;False;False;False;43,7;6
Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;460.000;2.0;3.0;;;;;Not available;True;False;True;True;True;47;5
Barcarena, Lisboa;189.000;2.0;2.0;75.0;81.0;;;Not available;True;True;True;True;False;44,8;4
Barcouço, Mealhada;129.500;2.0;1.0;105.0;128.0;1.0;1.0;Not available;True;False;False;False;False;49,3;38
Rua do Brasil / Quinta D. João, Coimbra;220.000;2.0;1.0;82.0;90.0;;;Not available;True;False;False;True;False;48,3;39
Canidelo, Vila Nova de Gaia;600.000;2.0;2.0;92.0;105.0;2.0;1.0;Energy Performance Certificate;False;False;True;True;False;46,8;6
Praia Leça da Palmeira, Matosinhos;650.000;3.0;2.0;134.0;201.0;3.0;5.0;Not available;False;False;True;False;False;47,5;4
Encosta da Barata, Abrantes;Under Consultation;3.0;2.0;116.0;127.0;;;Not available;True;False;False;False;False;53,4;97
Aguada de Cima, Águeda;148.000;2.0;1.0;88.0;88.0;2.0;1.0;Not available;True;False;False;False;False;49,1;54
Centro de Carnaxide, Oeiras;Under Consultation;3.0;2.0;87.0;97.0;;;Not available;True;False;False;False;False;46,5;5
Laranjeiro, Almada;145.500;1.0;1.0;45.0;50.0;;;Not available;True;False;True;False;False;46,3;6
Águas Santas, Porto;195.000;2.0;2.0;106.0;128.0;1.0;5.0;Energy Performance Certificate;False;False;True;True;True;47;10
Parque das Nações, Lisboa;1.150.000;3.0;3.0;149.0;149.0;2.0;9.0;Not available;False;True;True;True;False;44,8;18
Cidade da Maia, Porto;180.000;2.0;1.0;82.0;82.0;;;Not available;True;False;True;True;True;45,5;9
Santa Marinha, Vila Nova de Gaia;130.000;1.0;1.0;45.0;48.0;;;Not available;True;False;True;True;False;46,8;4
Arroja, Odivelas;195.000;2.0;1.0;75.0;75.0;;;Not available;True;False;False;False;False;43,7;14
Alfena, Porto;172.500;3.0;2.0;112.0;125.0;1.0;0.0;Not available;True;False;True;True;True;47;15
Peniche, Peniche;162.500;2.0;1.0;82.0;82.0;1.0;1.0;Not available;True;False;False;False;True;47,9;4
Alcabideche, Lisboa;480.000;3.0;2.0;80.0;86.0;1.0;0.0;Not available;True;True;True;True;False;44,8;4
Albufeira e Olhos de Água, Faro;159.500;1.0;1.0;57.0;65.0;;;Not available;True;False;False;False;True;44,4;27
Almancil Centro, Loulé;290.000;2.0;2.0;157.0;176.0;1.0;3.0;Not available;False;False;False;False;False;46,9;45
Bonfim, Porto;165.000;2.0;1.0;86.0;196.0;;;Not available;True;False;True;True;True;47;6
Massamá 2ª Fase, Sintra;219.900;2.0;1.0;83.0;96.0;;;Not available;True;False;False;False;False;43,7;6
Arcos de Valdevez (Salvador), Vila Fonche e Parada, Viana do Castelo;207.000;3.0;2.0;192.0;152.0;1.0;;Not available;True;False;False;False;True;55,4;37
Covilhã, Covilhã;175.000;3.0;2.0;96.0;100.0;;;Not available;True;False;False;False;False;52;117
Faro (Sé e São Pedro), Faro;240.000;2.0;1.0;66.0;79.0;1.0;3.0;Not available;True;False;False;False;True;45,7;54
Consolação, Peniche;198.000;2.0;1.0;63.0;96.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;True;47,9;0
Espinho I, Espinho;195.000;1.0;1.0;57.0;57.0;1.0;1.0;Not available;False;False;False;False;False;51,1;87
Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;219.000;2.0;1.0;92.0;92.0;;;Not available;True;True;True;True;False;44,8;22
São Martinho, Ilha da Madeira;525.000;3.0;2.0;108.0;156.0;2.0;4.0;Not available;True;False;False;False;False;;913
Estrela, Lisboa;435.000;2.0;1.0;76.0;76.0;;;Not available;True;True;True;True;False;44,8;8
Oliveira do Douro, Porto;184.500;3.0;2.0;99.0;112.0;1.0;5.0;Energy Performance Certificate;False;False;True;True;True;47;7
Quinta da Cabrinha, Seixal;259.500;3.0;2.0;99.0;115.0;;;Not available;True;False;False;False;False;44,9;13
C2 - Quinta dos Bispos, Vila Nova de Gaia;170.000;2.0;2.0;94.0;100.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;False;46,8;9
Lisboa, Lisboa;595.000;3.0;2.0;126.0;126.0;1.0;6.0;Energy Performance Certificate;False;True;True;True;False;44,8;11
Armação de Pêra, Silves;235.000;2.0;2.0;71.0;90.0;1.0;4.0;Energy Performance Certificate;False;False;False;False;True;47,1;15
Póvoa de Santa Iria e Forte da Casa, Lisboa;183.000;2.0;1.0;50.0;55.0;0.0;1.0;Not available;True;True;True;True;False;44,8;26
Bemposta, Portimão;210.000;1.0;1.0;60.0;71.0;;;Not available;True;False;False;False;True;45,5;3
Sesimbra (Castelo), Setúbal;308.000;3.0;2.0;115.0;146.0;;;Not available;True;False;True;True;True;44,8;20
Pinheiro Manso, Porto;240.000;3.0;2.0;106.0;119.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;True;47;2
Faro (Sé e São Pedro), Faro;250.000;3.0;2.0;83.0;102.0;;;Not available;True;False;False;False;True;45,7;54
Marquês, Porto;374.771;2.0;2.0;93.0;134.0;1.0;3.0;Not available;True;False;True;True;True;47;5
Marquês, Porto;375.475;2.0;2.0;97.0;132.0;1.0;2.0;Not available;True;False;True;True;True;47;5
Marquês, Porto;364.500;2.0;2.0;93.0;119.0;1.0;2.0;Not available;True;False;True;True;True;47;5
Marquês, Porto;645.000;2.0;2.0;163.0;329.0;2.0;0.0;Not available;True;False;True;True;True;47;5
Moscavide e Portela, Lisboa;350.000;4.0;2.0;100.0;100.0;;;Not available;True;True;True;True;False;44,8;18
Gondomar (São Cosme), Valbom e Jovim, Porto;168.000;;;;;1.0;5.0;Not available;False;False;True;True;True;47,1;11
Pinhal Novo, Setúbal;247.500;3.0;2.0;118.0;208.0;2.0;0.0;Energy Performance Certificate;False;False;True;True;False;46,6;27
São Martinho, Ilha da Madeira;390.000;;;;;2.0;;Not available;False;False;False;False;False;;913
Águas Livres, Lisboa;160.000;2.0;1.0;72.0;78.0;;;Not available;True;True;True;True;False;44,8;8
Ajuda, Lisboa;379.000;2.0;1.0;60.0;60.0;0.0;7.0;Energy Performance Certificate;False;True;True;True;False;44,8;8
Caniço de Baixo, Santa Cruz;380.000;3.0;2.0;115.0;150.0;2.0;2.0;Not available;True;False;False;False;False;43,7;905
Tavira (Santa Maria e Santiago), Faro;260.000;2.0;2.0;86.0;102.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;True;45,7;79
Paderne, Faro;138.500;2.0;1.0;86.0;86.0;;;Not available;True;False;False;False;True;45,7;30
Falagueira-Venda Nova, Lisboa;269.900;2.0;1.0;85.0;113.0;;;Not available;True;True;True;True;False;44,8;9
Paços de Ferreira, Porto;250.000;2.0;2.0;106.0;117.0;2.0;1.0;Not available;True;False;True;True;True;47;28
São Félix da Marinha, Porto;310.000;3.0;2.0;95.0;115.0;1.0;1.0;Not available;True;False;True;True;True;47;2
Marvila - Lisboa, Lisboa;217.500;3.0;2.0;73.0;77.0;;;Not available;True;True;True;True;False;44,8;11
Pedroso e Seixezelo, Porto;249.500;2.0;2.0;110.0;126.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;True;47;9
Avanca, Estarreja;173.500;4.0;2.0;169.0;169.0;1.0;0.0;Not available;False;False;False;False;False;48;23
