Designação;Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Idade mediana da população residente;1º quartil da idade da população residente;3º quartil da idade da população residente
Miranda do Corvo;-0,41;-0,98;0,57;51,1;29,4;66,7
Montemor-o-Velho;-0,09;-0,68;0,58;48,9;29,2;65,9
Mortágua;-0,99;-1,04;0,04;55,3;34,1;71,3
Oliveira do Hospital;-0,88;-0,94;0,06;51,3;29,5;67,6
Pampilhosa da Serra;-0,59;-2,07;1,48;62,6;41,5;75,6
Penacova;-1,24;-1,2;-0,04;54,3;33,8;70,2
Penela;0,42;-0,89;1,31;52,3;31,3;69,8
Soure;-0,92;-1,26;0,34;53,6;32,7;70,8
Tábua;0,35;-0,74;1,09;51,2;29,8;68,6
Vila Nova de Poiares;0,4;-0,74;1,14;49,1;28,7;65,7
   Região de Leiria;0,16;-0,47;0,62;48,1;27,3;65,5
Alvaiázere;-0,46;-1,54;1,08;57,3;34,7;72,4
Ansião;-0,22;-0,91;0,68;53,4;31,7;70,2
Batalha;0,98;-0,35;1,33;46,3;25,7;63,8
Castanheira de Pêra;-0,56;-1,75;1,19;57,6;34,9;71,9
Figueiró dos Vinhos;-1,05;-1,91;0,86;56,5;35,1;70,8
Leiria;0,39;-0,14;0,53;46,4;26,2;63,5
Marinha Grande;0,47;-0,42;0,9;46,9;26,7;64
Pedrógão Grande;0,4;-1,68;2,08;56;34,3;70,4
Pombal;-0,6;-0,75;0,15;50,6;28,9;68,2
Porto de Mós;0,06;-0,66;0,73;48,1;26,9;65,2
   Viseu Dão Lafões;-0,4;-0,8;0,4;50;28,8;67,7
Aguiar da Beira;-0,66;-1,93;1,26;57,8;35,5;72,5
Carregal do Sal;-0,14;-0,5;0,35;52,6;29,7;69,8
Castro Daire;-0,65;-1,17;0,53;54,4;32,3;70,1
Mangualde;-0,34;-0,9;0,56;50,9;29,3;68,2
Nelas;-0,5;-0,91;0,41;51;29,4;68,9
Oliveira de Frades;-0,45;-0,73;0,28;47,6;27;65,2
Penalva do Castelo;-0,99;-1,49;0,51;54,6;33;71,5
Santa Comba Dão;-0,04;-1,09;1,06;52,4;30,8;70,1
São Pedro do Sul;-1,01;-1,2;0,19;53,9;31,1;70,3
Sátão;-0,06;-0,81;0,74;52,1;29,7;68,9
Tondela;-1,05;-1,11;0,06;53,1;31,3;70
Vila Nova de Paiva;0;-1,13;1,13;53,7;31;70
Viseu;-0,13;-0,43;0,3;46,9;26,5;64,5
Vouzela;-0,71;-1,11;0,39;52,1;30,9;69,7
   Beira Baixa;-0,4;-1,16;0,76;53,8;32,6;70,6
Castelo Branco;-0,2;-0,76;0,56;50,5;29,7;67,6
Idanha-a-Nova;-0,86;-2,09;1,23;59,9;37,3;75,3
Oleiros;-1,26;-2,08;0,82;62,9;42,4;76,1
Penamacor;-1,07;-2,03;0,96;61,5;41,2;76,5
Proença-a-Nova;-0,79;-1,55;0,76;58,3;36,5;72,7
Vila Velha de Ródão;0,73;-1,68;2,41;60,2;37,1;76,1
   Médio Tejo;0;-0,94;0,94;51;29;67,9
Abrantes;-1,11;-1,3;0,19;53,4;31,8;69,2
Alcanena;-0,06;-0,81;0,76;50,8;28,9;67,7
Constância;1,3;-0,68;1,98;48,3;27,1;65
Entroncamento;1,93;-0,39;2,32;45,5;24,6;62
Ferreira do Zêzere;-0,17;-1,26;1,09;52,7;30,5;69,6
Mação;-1,11;-2,23;1,12;60,1;37,8;75,4
Ourém;0,17;-0,68;0,85;48,9;27,4;66,5
Sardoal;0,17;-1,38;1,55;52,8;32,3;69,1
Sertã;-0,42;-0,93;0,51;53,4;30,6;69,4
Tomar;-0,56;-1,12;0,55;52,8;30,3;68,8
Torres Novas;-0,03;-0,84;0,81;50,2;28,4;67,5
Vila de Rei;0,21;-1,68;1,89;56,1;32,3;73,9
Vila Nova da Barquinha;2,67;-0,43;3,1;48,5;27,2;66,4
   Beiras e Serra da Estrela;-1,01;-1,24;0,22;54,3;32,8;70,2
Almeida;-1,62;-2,32;0,7;62;41,2;75,6
Belmonte;-0,48;-0,92;0,44;53,5;32,4;69,5
Celorico da Beira;-0,6;-0,99;0,4;55,9;34,2;71,6
Covilhã;-0,8;-0,93;0,13;52;31,1;68,5
Figueira de Castelo Rodrigo;-0,61;-1,36;0,75;57,2;34,2;73
Fornos de Algodres;-1,32;-1,75;0,43;56,4;34,2;71,9
Fundão;-0,63;-1,16;0,53;53,6;32,2;69,9
Gouveia;-1,09;-1,59;0,5;58,1;35,9;72,9
Guarda;-0,88;-0,65;-0,23;49,6;29;65,6
Manteigas;-1,78;-1,71;-0,07;58,3;35,7;71,7
Mêda;-1,27;-1,51;0,24;58,4;36,6;73,2
Pinhel;-1,65;-1,86;0,21;58,6;38,1;73,2
Sabugal;-1,63;-2,46;0,83;62;40,1;76
Seia;-1,46;-1,51;0,05;55,7;34,4;70,8
Trancoso;-1,32;-1,51;0,19;56,6;35,8;72,3
  A. M. Lisboa;0,55;-0,11;0,66;45;24,9;62,6
Alcochete;1,24;-0,12;1,36;44,8;22,5;59,1
Almada;0,16;-0,29;0,45;46,3;25,7;64,5
Amadora;0,78;0,04;0,74;44,1;25,2;63,1
Barreiro;0,19;-0,37;0,56;47;26,2;65,7
Cascais;0,02;-0,26;0,29;46,9;24,7;63,7
Lisboa;0,65;-0,3;0,95;44,8;26,7;63,7
Loures;0,5;0,03;0,47;44,6;24,4;62,9
Mafra;0,8;0;0,8;43,8;22,5;59,1
Moita;1,08;-0,07;1,15;45;23,9;62,9
Montijo;1,38;-0,14;1,52;42,6;23,4;59,3
Odivelas;0,83;0,19;0,64;43,7;24,4;61,9
Oeiras;0,53;-0,23;0,76;46,5;25,4;64,6
Palmela;1,62;-0,27;1,89;45,3;24,2;62
Seixal;1;0;1;44,9;24,5;62,7
Sesimbra;1,62;-0,14;1,76;44,8;24,1;61,5
Setúbal;-0,47;-0,42;-0,06;46,6;24,9;64,2
Sintra;0,39;0,18;0,21;43,7;23,7;59,8
Vila Franca de Xira;0,23;0,04;0,18;44,1;23,8;60,4
  Alentejo;0,16;-0,83;1;48,8;27,8;66,4
   Alentejo Litoral;0,82;-0,6;1,42;47,5;29,1;65,9
Alcácer do Sal;-0,72;-0,93;0,21;52,2;30,8;69,1
Grândola;-0,17;-0,94;0,77;48,4;28,8;66,8
Odemira;2,57;-0,46;3,03;44,6;29,3;63,3
Santiago do Cacém;0,08;-0,69;0,77;50;30;67,8
Sines;0,63;-0,14;0,77;46;26,1;63,7
   Baixo Alentejo;-0,37;-1;0,63;49,3;27,5;66,6
Aljustrel;-0,1;-0,81;0,71;50,3;29,6;67,2
Almodôvar;-1,26;-1,4;0,13;52,5;30,9;69,8
Alvito;-1,67;-2,11;0,44;49,1;26,2;67,3
Barrancos;-2,77;-2,03;-0,74;50,9;26,2;63,5
Beja;-0,42;-0,78;0,37;46,5;25,1;63,8
Castro Verde;0,19;-0,81;0,99;50;28,6;66,4
Cuba;0,43;-0,86;1,29;47,4;26,8;65,2
Ferreira do Alentejo;-0,31;-1,61;1,3;48,5;28,9;67,5
Mértola;-1,19;-1,77;0,58;56,8;36,8;72,1
Moura;-0,07;-0,55;0,48;48,1;23,6;66,1
Ourique;-0,12;-1,29;1,16;53,9;32,9;70,9
Serpa;-0,31;-0,8;0,49;51,8;29,2;67,3
Vidigueira;0,19;-1,32;1,51;48,7;27,2;66,3
