Location;Distance to Nearest Coastal Point (km)
Mealhada, Ventosa do Bairro e Antes, Aveiro;43
Vila Nova Caparica, Almada;2
Águas Santas, Porto;10
Olhão Centro, Olhão;63
C1 - Rechousa, Vila Nova de Gaia;9
Ajuda, Lisboa;8
Fátima, Santarém;64
Lourinhã e Atalaia, Lisboa;10
Vila Real de Santo António, Vila Real de Santo António;99
Trofa, Águeda;46
Carnaxide, Oeiras;5
Baleal, Peniche;5
Tribunal, Braga;30
Covilhã e Canhoso, Castelo Branco;118
Venteira, Lisboa;8
Paredes, Porto;21
Quarteira, Faro;38
São Vicente, Lisboa;12
Casal do Chapim, Odivelas;14
Senhora da Hora, Matosinhos;4
Cruz de Pau, Seixal;11
Feijó, Almada;6
Carnide, Lisboa;11
S. Domingos Benfica, Lisboa;12
Olhão Centro, Olhão;63
Câmara de Lobos, Ilha da Madeira;915
Caniço, Ilha da Madeira;906
Odivelas Centro, Odivelas;14
Baixa da Banheira e Vale da Amoreira, Setúbal;16
Currelos, Papízios e Sobral, Viseu;78
Lagares, Coimbra;90
Currelos, Papízios e Sobral, Viseu;78
Pontinha e Famões, Lisboa;12
Lamego (Almacave e Sé), Viseu;71
Águas Santas, Porto;10
Matadouro de Campanhã, Porto;8
Águas Santas, Porto;10
Portimão, Faro;1
Aos Arneiros, Lisboa;27
Estrela, Lisboa;8
Travassô, Águeda;47
Currelos, Papízios e Sobral, Viseu;78
Tomar (São João Baptista) e Santa Maria dos Olivais, Santarém;6479
Esposende, Esposende;2
Urb. Colinas do Cruzeiro, Odivelas;13
Souto do Rio, Águeda;52
São Félix da Marinha, Porto;2
Belas, Sintra;9
Galiza, Porto;47
Paços de Ferreira, Porto;28
Portimão, Faro;1
Massamá 2ª Fase, Sintra;6
Sacavém e Prior Velho, Lisboa;18
Paranhos, Porto;6
Hospital da Cruz Vermelha - Laranjeiras, Lisboa;11
Pedroso e Seixezelo, Porto;9
Torres Novas (São Pedro), Lapas e Ribeira Branca, Santarém;83
Santa Marinha e São Pedro da Afurada, Porto;4
Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;11
Ermesinde, Porto;12
Laranjeiras Metro, Lisboa;11
Massamá 6ª Fase, Sintra;6
Ferrel, Peniche;5
Ferrel, Peniche;5
Ferrel, Peniche;5
Ferrel, Peniche;5
Ferrel, Peniche;5
Coronado (São Romão e São Mamede), Porto;16
Esposende, Marinhas e Gandra, Braga;3
Santa Maria Maior, Lisboa;11
Póvoa de Varzim, Beiriz e Argivai, Porto;14
Valadares e Francelos, Vila Nova de Gaia;8
Gondomar (São Cosme), Valbom e Jovim, Porto;11
Campolide, Lisboa;10
Covilhã, Covilhã;117
Mina, Amadora;9
St.º António da Caparica, Almada;0
São Domingos de Rana, Lisboa;4
Vila Chã, Vila do Conde;16
São Félix da Marinha III, Vila Nova de Gaia;2
Avenidas Novas, Lisboa;13
Vilar de Andorinho, Vila Nova de Gaia;6
Caparica e Trafaria, Setúbal;2
Bairro Norton de Matos, Coimbra;40
Monte, Murtosa;28
Cacém e São Marcos, Lisboa;8
Lordelo do Ouro, Porto;1
Braga (Maximinos, Sé e Cividade), Braga;28
Quarteira, Faro;38
Campanhã, Porto;8
Lagoa e Carvoeiro, Faro;9
Ajuda, Lisboa;8
São Cosme Zona 3, Gondomar;12
Paços de Ferreira, Porto;28
Av. Fernão Magalhães, Coimbra;38
Rio Tinto - Cidade Jovem, Gondomar;11
Gulpilhares e Valadares, Porto;7
Estrada Monumental, Funchal;914
Oliveira do Douro, Porto;7
Cidade da Maia, Porto;9
S.Cosme, Gondomar;12
Linda-a-velha, Oeiras;4
Lourinhã e Atalaia, Lisboa;10
Massamá, Sintra;6
Gualtar, Braga;29
Lourinhã e Atalaia, Lisboa;10
Torno, Porto;41
Cacilhas, Almada;8
Cacém e São Marcos, Lisboa;8
Cova da Piedade, Almada;7
Samora Correia, Santarém;43
Alhandra, Vila Franca de Xira;35
Matosinhos e Leça da Palmeira, Porto;4
Ramalde, Porto;3
Mafamude e Vilar do Paraíso, Porto;6
Mafamude e Vilar do Paraíso, Porto;6
Mafamude e Vilar do Paraíso, Porto;6
Mafamude e Vilar do Paraíso, Porto;6
Mafamude e Vilar do Paraíso, Porto;6
Mafamude e Vilar do Paraíso, Porto;6
Mafamude e Vilar do Paraíso, Porto;6
Mafamude e Vilar do Paraíso, Porto;6
Mafamude e Vilar do Paraíso, Porto;6
Mafamude e Vilar do Paraíso, Porto;6
Mafamude e Vilar do Paraíso, Porto;6
Mafamude e Vilar do Paraíso, Porto;6
Mafamude e Vilar do Paraíso, Porto;6
Mafamude e Vilar do Paraíso, Porto;6
Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa;1
Selho (São Jorge), Braga;35
Graça, Lisboa;12
Chiado, Lisboa;10
Praça Rainha D. Amélia, Porto;6
Montijo e Afonsoeiro, Setúbal;25
Avenidas Novas, Lisboa;13
Castelo Branco, Castelo Branco;124
Moncarapacho e Fuseta, Faro;66
São Domingos de Benfica, Lisboa;12
Vila do Conde, Porto;18
Penha de França, Lisboa;12
Lavradio, Barreiro;15
Lumiar, Lisboa;13
Estrada Monumental, Funchal;914
ERA Palmela Azeitao, Seixal;29
Santa Marta do Pinhal, Seixal;11
ERA Palmela Azeitao, Barreiro;23
Massarelos, Porto;3
ERA Palmela Azeitao, Moita;29
Vale Churido, Bragança;170
Loures, Loures;18
Lamego (Almacave e Sé), Viseu;71
Marvila, Lisboa;15
Santa Clara, Coimbra;37
Rio Tinto, Porto;9
Vendas Novas, Évora;67
Loulé (São Sebastião), Faro;40
Loulé (São Sebastião), Faro;40
Loulé, Loulé;45
Marinha Grande, Leiria;46
Canidelo, Porto;3
Castelo Branco, Castelo Branco;124
Vila Nova de Paiva, Vila Nova de Paiva;75
Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu), Coimbra;40
Granja Park, Castelo Branco;123
Ajuda, Funchal;913
Santa Marinha e São Pedro da Afurada, Porto;4
Entroncamento, Entroncamento;77
Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;5
Guarda, Guarda;160
Pampilhosa, Mealhada;43
Campolide, Lisboa;10
Custóias, Matosinhos;6
Campo de Ourique, Lisboa;10
Alto Sto Amaro, Lisboa;11
Alhos Vedros, Setúbal;19
Vila Praia de Âncora, Viana do Castelo;13
Paços de Ferreira, Porto;28
Ponta Delgada (São Pedro), Ilha de São Miguel;1416
Corroios, Setúbal;7
Santa Marinha e Afurada, Vila Nova de Gaia;4
Vilamoura, Loulé;37
Santa Marinha e Afurada, Vila Nova de Gaia;4
São Marcos, Sintra;6
Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;5
Barcarena, Lisboa;4
Barcouço, Mealhada;38
Rua do Brasil / Quinta D. João, Coimbra;39
Canidelo, Vila Nova de Gaia;6
Praia Leça da Palmeira, Matosinhos;4
Encosta da Barata, Abrantes;97
Aguada de Cima, Águeda;54
Centro de Carnaxide, Oeiras;5
Laranjeiro, Almada;6
Águas Santas, Porto;10
Parque das Nações, Lisboa;18
Cidade da Maia, Porto;9
Santa Marinha, Vila Nova de Gaia;4
Arroja, Odivelas;14
Alfena, Porto;15
Peniche, Peniche;4
Alcabideche, Lisboa;4
Albufeira e Olhos de Água, Faro;27
Almancil Centro, Loulé;45
Bonfim, Porto;6
Massamá 2ª Fase, Sintra;6
Arcos de Valdevez (Salvador), Vila Fonche e Parada, Viana do Castelo;37
Covilhã, Covilhã;117
Faro (Sé e São Pedro), Faro;54
Consolação, Peniche;0
Espinho I, Espinho;87
Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;22
São Martinho, Ilha da Madeira;913
Estrela, Lisboa;8
Oliveira do Douro, Porto;7
Quinta da Cabrinha, Seixal;13
C2 - Quinta dos Bispos, Vila Nova de Gaia;9
Lisboa, Lisboa;11
Armação de Pêra, Silves;15
Póvoa de Santa Iria e Forte da Casa, Lisboa;26
Bemposta, Portimão;3
Sesimbra (Castelo), Setúbal;20
Pinheiro Manso, Porto;2
Faro (Sé e São Pedro), Faro;54
Marquês, Porto;5
Marquês, Porto;5
Marquês, Porto;5
Marquês, Porto;5
Moscavide e Portela, Lisboa;18
Gondomar (São Cosme), Valbom e Jovim, Porto;11
Pinhal Novo, Setúbal;27
São Martinho, Ilha da Madeira;913
Águas Livres, Lisboa;8
Ajuda, Lisboa;8
Caniço de Baixo, Santa Cruz;905
Tavira (Santa Maria e Santiago), Faro;79
Paderne, Faro;30
Falagueira-Venda Nova, Lisboa;9
Paços de Ferreira, Porto;28
São Félix da Marinha, Porto;2
Marvila - Lisboa, Lisboa;15
Pedroso e Seixezelo, Porto;9
Avanca, Estarreja;23
Ponta Delgada (São José), Ilha de São Miguel;1418
São Gonçalo de Lagos, Faro;13
Sines, Setúbal;26
Costa da Caparica, Almada;0
Estoril, Cascais;4
Torres do Restelo, Lisboa;7
Praça Rainha D. Amélia, Porto;6
Praça Rainha D. Amélia, Porto;6
Praça Rainha D. Amélia, Porto;6
Praça Rainha D. Amélia, Porto;6
Praça Rainha D. Amélia, Porto;6
Praça Rainha D. Amélia, Porto;6
Olivais Sul, Lisboa;16
Gouveia, Guarda;105
Alvalade, Lisboa;14
São Martinho, Ilha da Madeira;913
Gulpilhares e Valadares, Porto;7
Linda-a-Velha, Oeiras;4
Av. Novas/ Av. República, Lisboa;13
Fânzeres - Regadas, Gondomar;12
Porto, Porto;3
Algés, Oeiras;5
Senhora da Hora, Matosinhos;4
Malveira, Mafra;20
Hospital, Santarém;57
Loures, Loures;18
S.Cosme, Gondomar;12
Costa da Caparica, Setúbal;0
Parque das Nações - Expo Sul, Lisboa;17
Alfragide, Lisboa;7
Jardins do Cristo Rei, Loures;18
Boavista, Porto;4
Forte da Casa, Vila Franca de Xira;28
Leça do Balio, Matosinhos;7
Odivelas Centro, Odivelas;14
Santa Cruz, Ilha da Madeira;899
Ponta Delgada (São Pedro), Ilha de São Miguel;1416
São Mamede de Infesta e Senhora da Hora, Porto;4
Grândola e Santa Margarida da Serra, Setúbal;56
Fânzeres e São Pedro da Cova, Porto;13
Rinchoa, Sintra;10
Damaia de Cima, Amadora;8
Pombal, Leiria;35
Águas Livres, Lisboa;8
Tomar (São João Baptista) e Santa Maria dos Olivais, Santarém;6479
Ranhados, Viseu;74
Pombal, Leiria;35
Venteira, Amadora;8
Marvila, Lisboa;15
Póvoa de Santa Iria e Forte Da Casa, Vila Franca de Xira;26
Pombal, Leiria;35
Quelfes, Faro;63
Pombal, Leiria;35
Corroios Centro, Seixal;11
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;3
Santa Marinha e São Pedro da Afurada, Porto;4
Odivelas, Lisboa;14
Castelos, Porto;3
Cedofeita, Porto;5
Vilamoura, Loulé;37
Alfornelos, Amadora;10
Mafamude e Vilar do Paraíso, Vila Nova de Gaia;6
Estômbar e Parchal, Faro;5
Júlio Dinis, Porto;3
Corroios, Seixal;7
Santa Maria Maior, Viana do Castelo;1
Celas, Coimbra;40
Telheiras, Lisboa;12
Montijo e Afonsoeiro, Setúbal;25
Sátão, Sátão;81
Arca d´ Água, Porto;5
Centro Histórico, Santarém;56
Celas, Coimbra;40
Arroios, Lisboa;12
Vilamoura, Loulé;37
Braga (São Vítor), Braga;31
Paços de Ferreira, Porto;28
Amadora, Amadora;8
Paços de Ferreira, Porto;28
Alto de Algés, Oeiras;5
Igreja da Memória, Lisboa;7
Metro do Heroísmo, Porto;6
Metro do Heroísmo, Porto;6
Metro do Heroísmo, Porto;6
Metro do Heroísmo, Porto;6
Metro do Heroísmo, Porto;6
Tavira, Tavira;79
Espinho, Aveiro;0
Nossa Senhora das Misericórdias, Santarém;64
Carvalhido, Porto;4
Alto das Vinhas Grandes, Montijo;25
Montijo e Afonsoeiro, Setúbal;25
Alvor, Portimão;5
Quarteira, Loulé;38
Paços de Ferreira, Porto;28
Tomar (São João Baptista) e Santa Maria dos Olivais, Santarém;6479
Tarouca e Dálvares, Viseu;74
Santa Maria Maior, Vila Real;111
Ermesinde, Porto;12
Paços de Ferreira, Porto;28
Paços de Ferreira, Porto;28
Alfena, Porto;15
Paços de Ferreira, Porto;28
Paços de Ferreira, Porto;28
Paços de Ferreira, Porto;28
Viso Sul, Viseu;74
Viso Sul, Viseu;74
Abraveses, Viseu;70
Viso Sul, Viseu;74
Olivais, Lisboa;16
Viso Sul, Viseu;74
Ermesinde, Valongo;12
Viso Sul, Viseu;74
Viso Sul, Viseu;74
Paredes, Porto;21
Olaias, Lisboa;14
Mãe de Deus, Santa Cruz;not found
Torres Novas (Santa Maria, Salvador e Santiago), Santarém;72
Esmoriz, Aveiro;5
Torre da Marinha, Seixal;11
Campolide, Lisboa;10
Alvalade, Lisboa;14
Costa, Braga;29
Parque das Nações - Expo Norte, Lisboa;19
Pinheiro Manso, Porto;2
Amorosa, Viana do Castelo;5
Boavista, Porto;4
Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa;1
Damaia de Cima, Amadora;8
Olivais, Lisboa;16
Aldeia de Joanes, Fundão;115
Quinta das Lágrimas / Quinta da Varzea, Coimbra;38
