Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Coastal Locations;Median Age;Distance To Ocean
Caparica e Trafaria, Setúbal;203000;2.0;1.0;70.0;73.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;False;46.6;2
Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;318000;3.0;1.0;116.0;116.0;0.0;;Not available;True;True;True;True;False;44.8;22
Olivais, Lisboa;269000;3.0;1.0;85.0;85.0;0.0;;Not available;True;True;True;True;False;44.8;16
Alverca do Ribatejo e Sobralinho, Lisboa;167500;2.0;1.0;66.0;78.0;0.0;;Not available;True;True;True;True;False;44.8;31
Arcos de Valdevez (Salvador), Vila Fonche e Parada, Viana do Castelo;220000;3.0;2.0;130.0;130.0;1.0;;Not available;True;False;False;False;True;55.4;37
Miraflores, Oeiras;575000;3.0;2.0;143.0;143.0;2.0;1.0;Energy Performance Certificate;False;False;False;False;False;51.2;5
Vale de Estacas, Santarém;230000;3.0;2.0;111.0;111.0;0.0;;Not available;True;False;False;False;False;48.3;58
Santa Catarina, Porto;125000;1.0;2.0;62.0;88.0;0.0;;Not available;True;False;True;True;True;47.0;5
Alhos Vedros, Setúbal;188000;3.0;2.0;88.0;102.0;0.0;;Not available;True;False;True;True;False;46.6;19
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;420000;2.0;2.0;91.0;102.0;1.0;12.0;Energy Performance Certificate;False;True;True;True;False;44.8;3
Parque das Nações - Expo Norte, Lisboa;575000;2.0;2.0;143.0;143.0;2.0;7.0;Not available;True;True;True;True;False;44.8;19
Meadela, Viana do Castelo;270000;3.0;2.0;134.0;134.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;True;48.8;2
Carcavelos e Parede, Lisboa;225000;2.0;1.0;80.0;142.0;0.0;;Not available;True;True;True;True;False;44.8;4
Massamá e Monte Abraão, Lisboa;239900;3.0;2.0;86.0;102.0;0.0;;Not available;True;True;True;True;False;44.8;6
Carcavelos e Parede, Lisboa;820000;3.0;3.0;117.0;130.0;1.0;5.0;Energy Performance Certificate;False;True;True;True;False;44.8;4
Carcavelos e Parede, Lisboa;810000;3.0;3.0;117.0;130.0;1.0;5.0;Energy Performance Certificate;False;True;True;True;False;44.8;4
Carcavelos e Parede, Lisboa;800000;3.0;3.0;117.0;130.0;1.0;4.0;Energy Performance Certificate;False;True;True;True;False;44.8;4
Carcavelos e Parede, Lisboa;790000;3.0;3.0;117.0;130.0;1.0;4.0;Energy Performance Certificate;False;True;True;True;False;44.8;4
Carcavelos e Parede, Lisboa;790000;3.0;3.0;117.0;130.0;1.0;3.0;Energy Performance Certificate;False;True;True;True;False;44.8;4
Carcavelos e Parede, Lisboa;780000;3.0;3.0;117.0;130.0;1.0;3.0;Energy Performance Certificate;False;True;True;True;False;44.8;4
Carcavelos e Parede, Lisboa;780000;3.0;3.0;117.0;130.0;1.0;2.0;Energy Performance Certificate;False;True;True;True;False;44.8;4
Carcavelos e Parede, Lisboa;770000;3.0;3.0;117.0;130.0;1.0;2.0;Energy Performance Certificate;False;True;True;True;False;44.8;4
Carcavelos e Parede, Lisboa;770000;3.0;3.0;117.0;130.0;1.0;1.0;Energy Performance Certificate;False;True;True;True;False;44.8;4
Carcavelos e Parede, Lisboa;760000;3.0;3.0;117.0;130.0;1.0;1.0;Energy Performance Certificate;False;True;True;True;False;44.8;4
Carcavelos e Parede, Lisboa;665000;2.0;2.0;88.0;210.0;1.0;0.0;Energy Performance Certificate;False;True;True;True;False;44.8;4
Carcavelos e Parede, Lisboa;675000;2.0;2.0;94.0;210.0;1.0;0.0;Energy Performance Certificate;False;True;True;True;False;44.8;4
Feira Nova, Amares;170000;3.0;3.0;183.0;190.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;False;46.0;37
Olivais Sul, Lisboa;370000;4.0;2.0;124.0;124.0;1.0;1.0;Energy Performance Certificate;False;True;True;True;False;44.8;16
Monte Gordo, Vila Real de Santo António;220000;1.0;1.0;33.0;40.0;0.0;;Not available;True;False;False;False;False;48.5;96
Serralves, Porto;245000;1.0;2.0;82.0;111.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;True;47.0;1
Valongo, Porto;138500;1.0;1.0;59.0;75.0;1.0;0.0;Energy Performance Certificate;False;False;True;True;True;47.0;15
Monte Gordo, Vila Real de Santo António;270000;1.0;1.0;40.0;50.0;0.0;;Not available;True;False;False;False;False;48.5;96
Sto. Ant. Charneca / Cidade Sol, Barreiro;153000;2.0;1.0;68.0;72.0;0.0;;Not available;True;False;False;False;False;47.0;17
Montijo e Afonsoeiro, Setúbal;345000;3.0;2.0;100.0;123.0;1.0;1.0;Energy Performance Certificate;False;False;True;True;False;42.6;25
Montijo e Afonsoeiro, Setúbal;345000;3.0;2.0;100.0;123.0;0.0;;Not available;True;False;True;True;False;42.6;25
Nacional 1, Santa Maria da Feira;162000;3.0;2.0;125.0;125.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;False;47.1;12
Montijo e Afonsoeiro, Setúbal;350000;3.0;2.0;100.0;123.0;0.0;;Not available;True;False;True;True;False;42.6;25
Montijo e Afonsoeiro, Setúbal;350000;3.0;2.0;100.0;123.0;0.0;;Not available;True;False;True;True;False;42.6;25
Damaia de Cima, Amadora;169000;2.0;1.0;67.0;70.0;0.0;;Not available;True;False;True;True;False;44.1;8
Marinha Grande, Leiria;165000;3.0;2.0;95.0;127.0;1.0;1.0;Not available;True;False;False;False;False;46.4;46
Montijo e Afonsoeiro, Setúbal;355000;3.0;2.0;100.0;123.0;0.0;;Not available;True;False;True;True;False;42.6;25
Venteira, Lisboa;385000;3.0;2.0;130.0;155.0;2.0;1.0;Not available;False;True;True;True;False;44.8;8
Vila do Conde, Porto;415000;3.0;3.0;135.0;135.0;1.0;3.0;Not available;True;False;True;True;True;47.0;18
Praia da Rocha, Portimão;170000;1.0;1.0;41.0;46.0;0.0;;Not available;True;False;False;False;True;45.5;0
Montijo e Afonsoeiro, Setúbal;355000;3.0;2.0;100.0;123.0;0.0;;Not available;True;False;True;True;False;42.6;25
Campo de Ourique, Lisboa;690000;3.0;3.0;107.0;114.0;0.0;;Not available;True;True;True;True;False;44.8;10
Amial, Porto;200000;1.0;1.0;63.0;63.0;1.0;4.0;Energy Performance Certificate;False;False;True;True;True;47.0;6
Tortosendo, Castelo Branco;88000;3.0;1.0;116.0;155.0;0.0;;Not available;True;False;False;False;False;50.5;116
Bairro dos Actores, Lisboa;270000;3.0;1.0;71.0;90.0;0.0;;Not available;True;True;True;True;False;44.8;11
Feijó, Almada;255000;1.0;1.0;71.0;92.0;1.0;3.0;Not available;False;False;True;False;False;46.3;6
Marco, Porto;158000;1.0;1.0;90.0;90.0;1.0;0.0;Not available;True;False;True;True;True;47.0;60
Vilar de Andorinho, Vila Nova de Gaia;128000;1.0;1.0;57.0;68.0;0.0;;Not available;True;False;True;True;False;46.8;6
Conde I, Sesimbra;160000;1.0;1.0;61.0;61.0;0.0;;Not available;True;False;False;False;True;44.8;25
Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães, Viana do Castelo;138000;3.0;2.0;123.0;123.0;0.0;;Not available;True;False;False;False;True;51.4;39
Cascais e Estoril, Lisboa;275000;1.0;1.0;41.0;52.0;0.0;;Not available;True;True;True;True;True;46.9;0
Paçô, Viana do Castelo;167000;2.0;2.0;89.0;89.0;1.0;;Not available;True;False;False;False;True;48.8;7
Lagoa e Carvoeiro, Faro;290000;2.0;1.0;85.0;85.0;0.0;;Not available;True;False;False;False;True;45.7;9
Pedra Mourinha, Portimão;159000;2.0;1.0;64.0;83.0;0.0;;Not available;True;False;False;False;True;45.5;3
Santa Maria Maior, Vila Real;229900;3.0;3.0;128.0;136.0;2.0;4.0;Energy Performance Certificate;False;False;False;False;False;48.5;111
Peniche, Peniche;275000;2.0;1.0;67.0;100.0;0.0;;Not available;True;False;False;False;True;47.9;4
Monte Gordo, Vila Real de Santo António;249000;2.0;2.0;60.0;67.0;0.0;;Not available;True;False;False;False;False;48.5;96
Venteira, Amadora;160000;3.0;1.0;72.0;84.0;0.0;;Not available;True;False;True;True;False;44.1;8
Venteira, Amadora;160000;3.0;1.0;72.0;77.0;0.0;;Not available;True;False;True;True;False;44.1;8
Venteira, Amadora;160000;3.0;1.0;65.0;72.0;0.0;;Not available;True;False;True;True;False;44.1;8
Loures, Loures;249000;1.0;1.0;71.0;86.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;False;44.6;18
Buarcos e São Julião, Coimbra;205000;3.0;2.0;91.0;120.0;1.0;1.0;Not available;True;False;False;True;False;48.3;0
Venteira, Amadora;160000;3.0;1.0;74.0;83.0;0.0;;Not available;True;False;True;True;False;44.1;8
Matosinhos Sul, Matosinhos;485000;1.0;1.0;98.0;118.0;1.0;0.0;Energy Performance Certificate;False;False;True;False;False;47.5;3
Campo de Ourique, Lisboa;415000;2.0;1.0;72.0;79.0;0.0;;Not available;True;True;True;True;False;44.8;10
Santa Maria Maior, Lisboa;199000;0.0;1.0;30.0;32.0;0.0;;Not available;True;True;True;True;False;44.8;11
Ajuda, Lisboa;320000;1.0;1.0;48.0;61.0;0.0;;Not available;True;True;True;True;False;44.8;8
Baguim do Monte - Igreja, Gondomar;180000;2.0;1.0;89.0;101.0;1.0;3.0;Energy Performance Certificate;False;False;True;False;False;47.1;12
Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail, Aveiro;193000;3.0;2.0;106.0;129.0;2.0;1.0;Not available;True;False;False;False;True;48.5;23
Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal;314900;3.0;2.0;95.0;110.0;0.0;;Not available;True;False;True;True;False;46.3;7
Fluvial, Porto;335000;3.0;2.0;87.0;99.0;0.0;5.0;Energy Performance Certificate;False;False;True;True;True;47.0;1
Ramalha/Centro Sul, Almada;329000;3.0;2.0;80.0;89.0;1.0;3.0;Energy Performance Certificate;False;False;True;False;False;46.3;6
Peniche, Peniche;195000;2.0;1.0;74.0;103.0;0.0;;Not available;True;False;False;False;True;47.9;4
CARRIÇO, Pombal;175000;3.0;2.0;147.0;204.0;2.0;3.0;Not available;True;False;False;False;False;50.6;17
Canidelo, Porto;619000;2.0;2.0;98.0;152.0;2.0;4.0;Energy Performance Certificate;False;False;True;True;True;47.0;3
Gulpilhares e Valadares, Porto;175000;3.0;2.0;103.0;103.0;1.0;2.0;Not available;True;False;True;True;True;47.0;7
S.Cosme, Gondomar;125000;1.0;1.0;60.0;65.0;0.0;;Not available;True;False;True;False;False;47.1;12
Consolação, Peniche;270000;2.0;1.0;72.0;114.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;True;47.9;0
S.Cosme, Gondomar;135000;2.0;1.0;70.0;80.0;0.0;;Not available;True;False;True;False;False;47.1;12
Laranjeiro, Almada;198000;3.0;2.0;89.0;100.0;0.0;;Not available;True;False;True;False;False;46.3;6
Santa Marinha e São Pedro da Afurada, Porto;469000;3.0;3.0;120.0;127.0;2.0;8.0;Energy Performance Certificate;False;False;True;True;True;47.0;4
Braga (São Vítor), Braga;158000;2.0;2.0;97.0;98.0;0.0;2.0;Not available;True;False;False;True;False;44.4;31
São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça, Setúbal;209000;2.0;1.0;85.0;85.0;0.0;;Not available;True;False;True;True;False;46.6;29
A dos Cunhados e Maceira, Lisboa;240000;2.0;1.0;85.0;104.0;2.0;0.0;Not available;True;True;True;True;False;44.8;20
Praia, Póvoa de Varzim;359000;3.0;2.0;114.0;114.0;1.0;6.0;Energy Performance Certificate;False;False;True;False;False;45.8;14
Amparo, Funchal;230000;2.0;1.0;67.0;103.0;1.0;3.0;Energy Performance Certificate;False;False;False;True;False;48.0;913
Canidelo, Porto;229000;3.0;2.0;119.0;119.0;1.0;5.0;Not available;True;False;True;True;True;47.0;3
Covilhã e Canhoso, Castelo Branco;110000;3.0;2.0;95.0;;0.0;;Not available;True;False;False;False;False;50.5;118
São Carlos, Sintra;170000;3.0;2.0;76.0;96.0;0.0;;Not available;True;False;False;False;False;43.7;7
Vila Nova de Famalicão e Calendário, Braga;227500;2.0;2.0;80.0;80.0;1.0;3.0;Not available;True;False;False;True;False;44.4;23
Quinta da Cavaleira, Sintra;270000;2.0;1.0;;;0.0;;Not available;True;False;False;False;False;43.7;9
Praça Rainha D. Amélia, Porto;265500;3.0;2.0;77.0;77.0;0.0;;Not available;True;False;True;True;True;47.0;6
Praça Rainha D. Amélia, Porto;245500;3.0;2.0;74.0;74.0;0.0;;Not available;True;False;True;True;True;47.0;6
Parada de Cunhos, Vila Real;180000;3.0;2.0;96.0;107.0;1.0;0.0;Not available;True;False;False;False;False;48.5;77
Antas, Porto;190000;1.0;1.0;63.0;63.0;0.0;;Not available;True;False;True;True;True;47.0;7
Conceição, Faro;280000;4.0;3.0;95.0;;0.0;;Not available;True;False;False;False;True;45.7;55
Guarda, Guarda;180000;2.0;2.0;90.0;108.0;3.0;0.0;Energy Performance Certificate;False;False;False;False;False;49.6;160
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;280000;2.0;1.0;73.0;80.0;0.0;;Not available;True;True;True;True;False;44.8;3
Vilar de Andorinho, Porto;165000;2.0;1.0;93.0;108.0;0.0;;Not available;True;False;True;True;True;47.0;9
Quarteira, Faro;262500;2.0;1.0;100.0;97.0;1.0;1.0;Not available;True;False;False;False;True;45.7;38
Castanheira do Ribatejo e Cachoeiras, Lisboa;164900;3.0;2.0;105.0;112.0;0.0;4.0;Energy Performance Certificate;False;True;True;True;False;44.8;42
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;352000;3.0;2.0;95.0;120.0;0.0;;Not available;True;True;True;True;False;44.8;3
Madredeus, Lisboa;275000;2.0;1.0;95.0;95.0;0.0;;Not available;True;True;True;True;False;44.8;14
São Cosme Zona 1, Gondomar;152500;2.0;1.0;88.0;88.0;0.0;1.0;Not available;True;False;True;False;False;47.1;12
Nossa Senhora da Piedade, Santarém;241000;4.0;3.0;217.0;117.0;2.0;3.0;Not available;False;False;False;False;False;48.3;60
Malveira, Mafra;265000;2.0;1.0;106.0;134.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;False;43.8;20
Cascais e Estoril, Lisboa;80000;0.0;1.0;42.0;44.0;0.0;;Not available;True;True;True;True;True;46.9;0
Chã, Figueira da Foz;295000;3.0;2.0;123.0;123.0;1.0;;Not available;True;False;False;False;True;50.9;4
Chã, Figueira da Foz;290000;3.0;2.0;119.0;119.0;1.0;;Not available;True;False;False;False;True;50.9;4
Palmela, Setúbal;185000;2.0;1.0;80.0;94.0;0.0;;Not available;True;False;True;True;False;45.3;30
Chã, Figueira da Foz;285000;3.0;2.0;123.0;123.0;1.0;;Not available;True;False;False;False;True;50.9;4
Chã, Figueira da Foz;280000;3.0;2.0;119.0;119.0;1.0;;Not available;True;False;False;False;True;50.9;4
Chã, Figueira da Foz;285000;3.0;2.0;123.0;123.0;1.0;;Not available;True;False;False;False;True;50.9;4
Chã, Figueira da Foz;265000;3.0;2.0;119.0;119.0;1.0;;Not available;True;False;False;False;True;50.9;4
Campo e Sobrado, Porto;165000;2.0;1.0;96.0;112.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;True;47.0;18
Chã, Figueira da Foz;275000;3.0;2.0;123.0;123.0;1.0;;Not available;True;False;False;False;True;50.9;4
São Brás de Alportel, Faro;230000;3.0;2.0;85.0;94.0;0.0;;Not available;True;False;False;False;True;45.7;57
Shopping, Vila Real;350000;4.0;3.0;117.0;138.0;2.0;2.0;Energy Performance Certificate;False;False;False;False;False;48.5;79
Nova Palmela, Palmela;133000;2.0;1.0;66.0;77.0;0.0;;Not available;True;False;False;False;False;45.3;30
Faro (Sé e São Pedro), Faro;110000;2.0;1.0;;;0.0;;Not available;True;False;False;False;True;45.7;54
Chã, Figueira da Foz;270000;3.0;2.0;119.0;119.0;1.0;0.0;Energy Performance Certificate;False;False;False;False;True;50.9;4
